0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
서울,3456,18,982,751,425793,555359,1060607,378790,1664343,30728,121861,215600,353965,1631685,71574,83716,1923791,648,29,1984,0,2792,2673,1832,0,111855,299575,385043,289614,70724,63897,66073,276354,212811,25340,105594,82258,178115,130070,10959,5305,0,0,0,186708,233092,254526,340770,168548,118500,1086624,11565,2,11550,1015,0,2203,1100,0,632,0,0,0,370,0,688,519,11835,244,0,617,27419,933,79960,232427,74737,3167,10777,186199,6526,46233,6179,7322,21895,1970,414471
용산,2,0,52,447,2277,5199,1973,686,1513,19,26,97,87,9782,31,11,106583,0,120,0,0,0,0,0,0,0,265,930,1077,1593,66048,96,7246,221,0,0,911,0,0,0,0,0,0,0,652,408,406,212,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,0,0,0,0,415,0,166,0,0,0,1435,0,507,0,0,0,0,0,0,0,0,194
영등포,426,0,17,491,215203,471692,918586,375798,1110527,27711,93173,127100,191937,588430,39421,31865,658268,0,2594,0,0,2494,2229,1619,0,2250,210245,240470,201607,41054,45805,51995,172865,149841,18716,64861,46943,112205,65216,11862,5829,0,0,0,189163,200303,198025,205071,118809,0,0,2064,0,49,0,0,118,0,0,417,0,0,0,583,0,243,101,40,176,0,449,8442,583,7445,4683,933,1333,5207,93074,3679,20107,3282,4948,17230,1713,229807
안양,6600,0,271,1,398,19564,9231,4422,5147,2,1705,1846,1848,6431,720,406,4472,0,0,0,0,41,0,564,0,0,574,687,1108,264,274,485,859,322,223,841,0,0,962,0,0,0,0,0,9527,3034,3747,4133,2342,0,0,1,0,0,0,0,0,0,0,0,0,0,0,706,0,0,0,0,423,0,0,0,0,0,4628,432,118,0,29,0,0,0,0,0,0,0
수원,471292,508,67824,224,347,265302,373108,222810,609600,15067,51593,84749,138284,435768,28899,24797,524001,0,1440,0,0,5063,11527,6294,0,6934,113419,156990,115395,25489,25279,27429,101382,80478,8126,33889,21727,67436,45457,3582,10044,0,0,0,94276,105278,107165,127069,74254,150,150,1071,0,44,0,0,17,0,0,72,0,0,0,0,1,0,292,0,591,0,2,399,291,14374,23124,23186,573,3695,69908,2365,20390,1678,1797,8027,883,121420
평택,1029694,5057,132493,27489,132424,1126,27860,35663,150394,2429,7453,13079,17772,68100,4484,2690,69759,0,0,0,0,2196,2641,1840,0,439,18943,27064,17190,3727,6107,4985,11556,18483,1502,5127,2934,10929,6792,498,699,0,0,0,7854,22460,30148,31268,12334,0,0,2,0,0,0,0,0,0,0,0,0,0,0,92,0,0,10,0,0,0,0,22,25,372,233,4,0,609,9571,263,2982,181,211,1252,143,21609
천안,1439104,72,508345,6876,294352,30106,12061,89702,385524,6658,15854,29455,36849,139838,8300,7050,200470,0,0,40,0,8083,5397,2796,0,2117,39049,39283,23228,5143,5654,5310,20517,27441,1709,8545,4044,17564,12447,1060,2474,0,0,0,16757,77784,129698,163100,32075,11,0,0,0,374,60,0,257,0,0,72,0,0,0,0,61,786,1674,0,226,0,421,374,61,10819,8396,3599,243,1364,27909,488,6135,270,197,1345,142,29627
조치원,366919,602,367723,2248,223625,36226,95748,601,183847,2435,14970,21224,28575,63727,5210,4475,109043,0,0,0,40,48997,358,142,0,157,27088,31882,16036,5685,5330,2901,15962,16,788,29363,3075,12404,10912,17542,41589,0,0,0,75,0,0,159,0,0,0,360,0,144,0,0,0,0,0,317,0,0,0,259,222,958,1858,51,105,32,482,529,56,1210,621,5,106,746,10648,329,3007,263,83,753,70,21167
대전,1684588,6145,1080571,2901,628035,150365,378587,189432,6449,61073,266336,165970,160801,493128,35418,24095,696175,0,0,0,106,105509,3469,344,0,7045,143730,134552,61856,17210,14055,9615,49407,748,3140,17084,10756,40630,35730,21548,64588,0,0,0,0,1,25,1382,0,1292,0,1152,2736,4461,0,0,892,0,0,1055,210,32,0,617,1738,4700,11947,481,752,125,7401,7664,311,17354,20519,13698,1328,3923,63165,1348,10488,652,417,2285,273,61949
옥천,35170,0,29245,0,18107,3041,8491,3125,66646,6546,2410,4563,5857,12583,1295,466,12260,0,0,0,0,0,0,0,0,0,0,0,81,0,0,194,0,39865,0,0,0,0,0,0,0,0,317,0,0,0,0,42,0,188,0,0,0,0,0,0,0,0,0,175,0,0,0,361,0,19,0,0,0,0,0,192,485,44,15,0,75,66,954,33,136,0,0,0,0,0
