,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼랑진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정주,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
서울,547,11,1214,678,393340,594514,1006325,366493,1602284,29350,108804,195928,349162,1583625,75355,80124,1926026,0,0,4,0,2982,2054,2199,0,33193,284923,374367,274431,67952,60871,63507,270341,214612,23942,101116,78349,178332,140380,11541,6239,0,0,181136,210456,234597,316473,152234,122369,526681,8939,0,4038,0,0,8,1074,0,0,0,0,0,105,0,0,452,1669,0,0,1,26427,1178,70130,217855,80904,4230,11315,195283,6515,44520,6033,6666,18680,2114,409842
용산,145,12,2,371,2191,5433,1920,425,1584,9,31,87,268,10103,450,423,110414,0,144,0,0,0,0,0,0,360,227,940,745,2290,66392,88,4046,571,213,0,136,411,0,0,0,0,0,509,367,261,150,55,0,0,295,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,0,451,45,415,0,482,140,556,320,0,161
영등포,478,0,256,506,218283,494170,902413,373383,1091240,26099,86609,121345,201017,615917,41366,32591,692858,0,0,0,0,2314,2067,1310,0,3212,204322,251139,200412,41001,46354,50639,168419,156427,18057,68811,46209,115242,73136,11130,5685,0,0,180648,187506,193872,191755,109727,0,672,976,0,23,288,700,101,0,0,0,0,0,44,0,0,0,6,216,518,0,1077,8643,771,10934,6168,945,792,5528,96293,3598,22671,3074,4651,15410,1741,239985
안양,5692,0,22,0,418,18773,8638,4875,5558,0,1259,1628,2064,6282,501,385,4886,0,72,0,0,0,0,0,0,0,948,875,1352,191,270,435,1161,128,565,668,0,0,100,0,276,0,0,8388,3819,4837,3679,2165,0,0,0,0,0,0,0,0,0,0,413,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3009,0,0,0,0,0,0,0,0,0,0,0
수원,489574,518,50838,96,791,269594,353599,233106,615691,15439,47887,83463,143246,462588,30647,24997,548114,0,0,0,0,4938,11108,7322,0,9114,108155,166579,116612,25713,27068,28046,106346,91893,8032,36754,23274,73619,51888,3495,7752,0,0,89430,101743,107930,125123,69798,0,0,542,0,28,0,0,16,0,7,361,0,0,0,0,0,348,701,0,0,0,0,817,373,24328,27383,27347,990,4639,82991,2615,20695,1622,1764,7560,945,131389
평택,935256,5888,225418,26388,202148,907,31784,36426,151553,2815,8111,13572,18943,67877,4759,2999,73790,0,0,0,0,2213,2941,1948,0,109,19620,29875,17134,3352,5384,4858,12223,19476,1476,5308,3212,11118,7504,634,959,0,0,7983,20412,33617,33052,11763,0,0,0,0,0,0,0,0,0,0,481,0,0,0,0,0,0,0,0,0,0,67,665,74,906,441,0,60,614,16655,233,3380,156,198,1387,185,23826
천안,1341510,154,562215,6041,299236,33764,11309,88414,379246,6309,15907,28437,38101,140582,9141,6676,196800,0,0,0,2,8045,5116,2715,0,1961,38794,40821,23633,4807,5680,5608,21252,28649,1565,8175,4042,17672,13750,1019,2235,0,0,14418,72848,113835,152146,31465,0,0,0,0,95,146,0,78,0,0,12,0,0,0,0,0,0,620,318,1,0,384,193,77,9736,9309,7564,526,1430,27680,478,5636,295,198,1230,158,31981
조치원,359664,981,367982,2292,232261,36491,92267,160,166220,1578,11875,21252,28488,62726,5237,4416,103933,0,0,0,34,45892,372,237,0,246,25332,31736,16306,6814,4046,2919,15963,17876,976,5275,2877,13435,11966,17581,42707,0,0,250,0,1,0,0,0,0,360,0,216,29,0,0,0,0,0,0,0,0,8,62,1165,1829,276,149,20,525,329,101,1076,649,192,0,820,10581,233,2758,130,125,637,98,23103
대전,1587739,8868,1067505,2900,637630,156848,373350,172244,5797,60383,234381,161810,169134,504617,39954,23293,706625,0,0,0,92,105315,2630,334,607,7910,136925,143819,62772,18104,13721,9876,52775,45148,3537,19418,10134,42374,38198,25025,66614,0,0,0,0,1,1,0,1262,0,2410,288,3962,459,72,1374,144,0,50,273,0,0,38,325,2804,9866,1343,1626,108,2626,7823,556,17731,21563,15781,1409,4203,67119,1288,9722,467,486,2103,303,69709
옥천,32261,0,27449,0,18423,3471,8119,2248,60770,4953,2452,4126,5884,12400,1060,451,12373,0,0,0,0,249,198,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,364,28,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,92,594,208,233,225,1654,48,130,0,0,0,0,0
