,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼랑진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정주,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,광주,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순
서울,0,11,1503,1468,393534,623216,1052565,358295,1583875,28482,100672,192021,355013,1616155,79495,81003,1982846,0,0,1428,0,1723,1713,1709,0,32499,292866,373494,279436,70474,68387,69265,275731,219333,22260,101520,85580,191124,143183,9815,5019,0,0,178452,195916,223904,303651,148336,114782,164479,155,0,312,0,0,0,0,0,0,0,0,417086,0,0,0,0,576,0,57,0,6,37145,1074,73803,188751,85911,3171,12420,212571,6369,42455,5328,7238,22823,2502
용산,16,72,6,554,2827,5539,1737,278,1000,23,35,61,162,6318,51,16,106030,0,144,0,0,0,0,0,0,216,776,1216,179,2406,61371,78,4295,0,0,0,0,0,0,0,0,0,0,438,228,261,103,89,0,0,299,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0
영등포,421,4,1,1006,225161,532504,948524,368192,1085278,25579,79328,116065,200195,639876,45009,34290,715173,0,0,0,0,2686,2255,1610,0,3636,211285,255784,198416,42246,50720,49872,170645,159432,17578,68707,47440,119609,74681,10680,5406,0,0,175202,169368,184108,186654,106301,0,11873,0,0,20,216,0,86,0,0,0,0,0,236779,0,0,0,0,481,540,305,0,1164,11653,641,13880,6566,322,919,6152,106755,3371,21576,2696,4592,15819,2007
안양,5010,10,36,0,393,19963,11538,6408,5688,0,1256,1733,1921,6240,465,419,4756,0,144,0,0,0,0,0,0,471,1413,1215,1623,559,466,781,2001,5,310,1081,0,0,0,0,47,0,0,6209,3256,5364,3867,2183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4914,0,11,0,0,0,0,0,0,0,0
수원,500321,346,66832,106,0,296860,406910,253496,626699,15569,45882,81827,148603,491930,33569,27371,572442,0,0,0,0,4892,10990,6664,0,10461,113418,172031,120384,27009,32031,28549,108769,101717,8317,39576,24041,77801,54086,3904,7044,0,0,82385,97702,111580,128386,67803,0,0,95,0,25,0,0,30,0,1,0,0,0,139239,0,0,0,0,0,493,80,0,0,2935,351,27559,29741,29166,843,5319,90739,2817,20395,1603,1809,8219,970
평택,984802,5818,290147,23709,211786,996,36013,37164,163365,3059,7369,14626,21575,71530,5466,3210,75855,0,0,0,0,2159,2928,1485,0,1206,20711,30809,16764,4082,7767,4476,12458,22122,1455,6309,2987,12396,7604,706,1122,0,0,8675,20176,40808,30791,11364,0,0,0,0,0,0,1281,0,0,685,531,658,0,23881,0,934,0,0,0,0,0,0,26,97,71,1191,424,0,765,677,14858,253,2948,141,231,1376,183
천안,1345367,466,661447,9796,353234,39622,10248,84116,413681,7080,16254,28139,40648,146952,9884,7899,201651,0,0,0,0,7901,5273,4495,823,2399,42874,43270,24765,5084,6738,5388,21881,31553,1576,8658,5096,18385,14289,990,2311,0,0,14746,75514,124965,156969,31860,0,0,0,0,18,0,0,169,0,0,0,0,0,33609,0,183,163,0,23,0,0,0,506,218,80,10037,8909,8233,662,1543,28396,518,5801,229,621,1909,273
조치원,351382,1035,362652,3468,251279,37844,88566,212,172247,2257,12231,20604,29806,66714,6070,4599,107078,0,0,72,175,48503,934,0,0,389,29301,35930,17044,6476,4344,3181,17264,19854,898,5486,2910,14107,12248,20426,42865,0,0,103,18,54,1155,0,14,0,936,0,1034,0,0,432,0,0,0,0,0,23448,0,5,69,581,2084,327,210,9,546,371,294,1248,641,0,0,726,11038,258,2685,117,163,776,99
대전,1598826,5058,1066256,3935,645625,166318,410836,177595,6158,58678,229723,168307,177122,536136,42086,25817,732773,0,0,217,144,108575,2273,0,0,8230,140075,154754,67900,18566,16073,10352,55333,52168,3942,21281,11680,46337,41857,28394,71733,1,0,207,0,2,0,2,385,0,3758,0,8190,0,0,1054,0,0,2,2,0,73629,0,326,278,2351,9158,318,2605,100,2886,10759,798,19159,21281,14706,1295,4741,71242,1138,9508,803,506,2756,287
옥천,31114,0,26051,0,17286,3654,8595,3359,53392,4102,2605,4686,6796,12612,1011,448,12286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,555,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,40,743,36,621,0,0,0,0
