0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼랑진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,광주,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순
서울,0,7,1219,1361,390448,658159,1052148,342604,1468041,26243,95707,167275,316349,1488376,81991,74689,1843299,0,0,1,0,1349,1209,983,1,29541,275051,344191,242468,71531,67603,56777,230901,204047,20001,86755,68297,175787,134674,9129,3771,0,0,175835,172944,189645,252283,121399,59231,573355,0,0,1441,0,0,4,1892,291,0,0,0,379420,0,0,0,0,1322,0,0,0,145,50938,1363,79636,167992,83010,6842,12648,181880,5442,17745,4116,6637,23985,2953
용산,0,0,5,349,2677,5332,1703,276,1006,21,28,50,92,5574,40,12,92316,0,144,0,0,0,0,0,0,0,213,539,159,1309,55527,31,3118,0,0,0,0,0,0,0,0,0,0,323,112,156,47,18,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
영등포,469,1,3,243,222624,539607,988714,361663,1069269,24726,75239,110146,196003,635827,48099,34062,703443,0,0,110,0,2717,1704,1193,0,5437,214072,241472,182346,42902,54420,43236,143160,155739,17531,65552,41929,116702,74738,11097,4884,0,0,174900,152779,165461,169465,92048,0,144,0,0,14,288,525,1032,0,0,0,0,0,229854,0,0,0,0,605,0,0,0,1259,18618,787,16932,14777,8339,2,6654,101925,3152,10644,2060,4683,17085,2083
안양,5289,15,106,0,169,20299,16819,5960,6625,0,1147,1473,2194,7652,682,447,5892,0,432,0,0,0,0,0,0,0,1826,1410,1739,664,568,784,1971,0,89,0,0,0,0,72,0,0,0,5757,2530,4950,4247,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527,0,0,0,0,0,0,0,0,0,0
수원,524289,670,57009,73,0,310692,453239,231686,591573,14298,42588,75798,145905,472985,35697,27655,561055,0,0,0,0,4820,6293,3817,0,10091,112901,158008,106854,25914,31945,24918,84527,98125,8677,34633,21900,74200,53576,4194,2214,0,0,85626,90264,97795,115771,57205,0,0,0,0,49,0,0,20,0,0,4,0,0,128127,0,0,0,12,23,0,0,0,0,7778,402,33506,29565,30575,15,5549,80790,2290,8640,1251,1584,8899,1220
평택,1025260,5242,319341,21871,209093,729,34935,35133,153118,2685,7069,13159,20363,72741,6103,3144,73494,0,0,0,0,1990,2346,1140,0,111,19668,29304,15584,3415,5223,3536,11212,20808,1288,4860,2746,10815,7191,637,1038,0,0,8393,18269,34859,29609,10284,0,0,0,0,0,0,0,0,0,0,0,0,0,19369,0,0,0,0,0,0,0,0,0,132,77,995,439,360,0,712,13146,184,1433,128,214,1359,170
천안,1352944,933,735581,13722,394033,37777,10029,77907,386475,7600,14768,26306,39091,143056,10462,7015,190702,0,4,0,0,7258,4370,2415,471,2036,42020,43589,23544,4965,6613,4814,19553,32347,1467,7461,3838,17452,13618,815,2116,0,0,13084,68554,112940,146946,30995,0,0,0,0,42,0,0,16,0,0,0,0,0,30668,0,0,0,0,0,260,0,0,155,484,82,9905,8289,8748,1,1546,23236,422,2318,214,245,1557,239
조치원,341445,864,362140,3569,227156,36355,83397,156,171055,2375,11093,17935,23940,62484,6774,4698,98130,0,107,64,150,45432,407,0,0,115,29996,33880,15557,6296,4578,2600,16380,18952,846,4842,2603,12685,11728,20798,40461,0,0,0,135,77,1369,0,0,0,720,0,9504,0,0,0,0,0,0,0,0,21782,0,7,29,444,1529,97,135,17,670,413,69,1069,421,0,0,1094,9612,173,986,96,905,868,132
대전,1510678,10079,1050426,4429,611688,157762,389769,175179,5389,47389,208495,150459,164517,485732,47754,26000,655914,0,233,297,168,94460,2287,0,0,8737,133658,143877,64003,19000,16463,8752,52059,47480,3786,17851,9906,40650,37114,27854,65726,0,0,256,57,578,0,0,0,210,9806,0,6616,0,0,399,0,8,0,0,0,69289,0,38,171,1093,7544,610,1138,60,9022,13444,983,18678,20338,15643,648,4362,52777,857,2840,286,369,3075,733
옥천,30928,0,25619,0,16776,3538,9540,3502,48956,3546,2081,3867,6850,11279,1033,383,11489,0,0,107,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,172,0,0,98,0,48,859,28,57,0,0,0,0
