0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,두계,논산,익산,김제,정읍,장성,송정리,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,수색,능곡,일산,문산,청량리,성북,의정부,동안,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,군산,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,증산,태백,부전,좌천,울산,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주
서울,5802,1930,3703,389914,639151,304221,902883,272504,80678,1958282,21990,67310,121715,215641,37509,2772362,49402,180969,316822,2951118,0,0,0,0,70,577,175,160,414,483,0,13162,62340,143319,402252,84336,114544,58284,162790,51987,20382,280158,100952,12339,47861,47726,106550,82997,5388,1327,306,1679,144543,116148,139209,179548,85441,8993,145288,317083,811569,0,0,1585,0,0,0,0,0,0,155,62,15,0,0,0,0,30,0,0,4015,752,0,0,0,0,0,180,33612,1344,54416,55846,3349,38483,1201,1051,6936,37159,47882,3346,6831,2362,3448,14789,1814,487320
영등포,2726,6,0,230609,725973,0,1019427,306843,90376,723525,21990,59245,88318,160633,22306,344792,33594,21600,79643,276311,0,16,0,165,0,1168,334,202,629,597,0,4651,31108,142898,164580,63304,71689,31697,37358,30242,19048,72799,109584,12977,43681,37963,92180,59102,5925,2042,556,2352,193303,129736,155219,168637,80184,0,0,0,0,5,0,29,0,0,0,0,139,0,95,24,23,0,0,0,0,0,0,0,474,1737,0,0,52,0,86,10533,15475,797,19307,13963,747,10852,346,486,4643,22607,29456,2248,5200,1400,3402,13318,1870,121477
광명,7199,0,17,0,0,28937,0,0,0,147724,0,0,0,0,0,247625,0,1070,46075,228516,0,0,0,0,0,0,0,0,0,0,0,0,295,2331,23378,1142,5842,1034,11866,2773,0,19154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32689
수원,445869,230396,0,1678,574216,0,709731,224164,62431,535340,14829,35678,65726,136497,17147,361353,30760,23039,89053,310171,0,0,0,64,0,2545,710,906,1804,1636,0,7008,16534,87697,130238,40721,49203,21287,26165,20079,10717,52718,77027,7138,26298,20386,61864,48253,2690,916,339,1433,120058,74808,90678,115367,52285,0,0,0,0,2,0,27,0,0,0,0,40,0,42,14,7,0,0,0,0,0,0,0,349,0,0,0,0,0,75,1102,12186,521,34235,21251,1485,23264,384,335,4811,26112,27187,1628,4778,912,1545,6958,1027,78664
평택,663576,660155,0,605447,14066,0,99281,52901,20301,161445,3293,7002,11645,16997,5494,62896,5341,3271,13559,46378,0,0,0,0,0,1568,322,648,1175,1078,0,379,4395,15068,26164,6365,7852,3549,5578,3113,1341,8963,19107,1652,4197,2940,10314,7515,574,289,148,1276,18556,16422,24685,24628,10260,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,0,0,0,0,0,0,72,0,0,0,0,0,504,474,1060,111,2988,1486,90,1179,0,49,499,3218,5489,185,1060,115,231,1255,128,14325
천안아산,325068,0,33033,0,0,3,0,0,0,51862,0,0,0,0,0,103075,0,3464,12482,136473,0,0,0,0,0,0,0,0,0,0,0,0,6,181,4250,152,560,172,2064,473,0,5060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4267
천안,953909,985695,0,714553,97418,0,6821,134675,47026,388322,9690,14742,24952,41861,5355,106839,8966,5890,26237,92310,0,0,0,0,0,4841,716,975,3091,2097,0,1628,8090,40835,48204,10533,13476,4286,7297,4413,2263,16432,34602,1481,6940,3808,18661,14291,640,216,179,1931,41313,80558,119554,122858,28803,0,0,0,0,2,0,76,0,0,0,0,22,0,15,16,11,0,0,0,0,0,0,0,336,0,0,0,0,0,0,437,2563,93,8557,5270,371,6184,108,76,1084,6903,7508,390,1786,186,336,1331,202,19344
조치원,262639,306170,0,221175,52366,0,138125,2090,16542,245033,5230,9245,15481,16547,3518,49543,6377,3846,14325,49370,0,0,0,0,0,39644,90,72,271,0,0,125,4455,30493,28075,5865,7855,6519,5450,2273,1267,11471,17181,870,3555,2771,11996,9962,10010,7979,5426,32889,36,0,0,360,0,0,0,0,0,0,0,1656,0,0,0,0,144,0,11,5,3,0,0,0,0,0,14,52,252,1116,0,0,133,21,279,2093,1310,66,1332,609,15,323,0,25,632,3230,3349,152,809,65,195,998,153,13097
신탄진,81070,93969,0,64208,20930,0,48779,16385,10,13188,2852,4322,4965,5647,933,15619,1744,625,2991,8062,0,0,0,0,0,7251,32,36,164,0,0,16,762,9413,7575,1831,2152,928,1077,444,316,1665,2635,220,726,656,2138,1433,1448,1342,923,6554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,91,146,0,0,56,14,125,317,210,15,512,43,0,27,0,0,145,432,576,29,42,5,16,295,42,2053
대전,2045763,683715,141489,539538,153301,52909,381820,238293,10681,1643,37804,224615,136757,172669,21864,571526,31333,31662,123670,652177,0,0,0,0,0,74524,478,375,1289,0,0,4223,8642,147670,141637,27966,38719,16113,21293,9599,4768,59931,43841,2952,13358,8466,36371,32323,16621,9555,8515,55323,152,25,0,45,0,0,5333,0,0,2304,0,696,0,0,0,0,65,0,76,84,42,0,0,0,0,0,21,189,516,3447,0,3,669,77,1119,4330,11168,198,13453,9753,848,9726,380,113,2689,14293,13452,573,1675,159,397,2055,305,68260
옥천,22873,21319,0,15467,3193,0,10118,5064,3231,46614,1931,4256,6513,5708,847,11990,1131,524,2403,6698,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,2,8,22,0,0,0,0,46,253,263,12,27,0,0,0,0,0
영동,64225,53746,0,34194,5947,0,13973,9808,3905,213153,4244,3752,22466,18666,3347,44334,3381,1728,8711,27464,0,0,0,0,0,0,0,0,3,0,0,65,0,3,9,0,0,2,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,27,458,242,6,112,0,7,205,1274,1359,81,161,0,0,0,0,8
김천,125168,83705,0,65663,11241,0,24479,15992,4524,138980,6310,24535,60,64047,18889,382366,45255,5111,23698,74913,0,0,0,0,0,0,0,0,6194,0,0,877,0,42,23,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,34,0,10277,9772,3847,0,0,11,12,5,81,26,435,754,0,0,0,0,0,505,2276,49,3310,1727,130,2127,0,262,796,3796,5307,156,1212,0,0,0,0,36
구미,226945,157078,0,141061,16615,0,41424,16165,4806,170975,4743,17923,54980,460,26575,785381,116723,16528,70727,211215,0,0,0,0,0,0,0,0,5997,0,0,2937,0,54,90,18,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8238,7200,5378,0,0,7,9,16,171,62,486,1731,0,0,0,0,0,249,7213,88,7799,4264,403,6052,0,1627,1813,7644,7595,402,2396,0,0,0,0,132
왜관,38517,21550,0,17589,5412,0,5793,3957,1085,23564,967,3307,18791,25741,312,316413,62247,6682,17699,47682,0,0,0,0,0,0,0,0,942,0,0,248,0,9,18,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1862,1550,636,0,0,0,0,0,28,12,187,145,0,0,0,0,0,199,1054,2,394,270,14,212,0,1063,635,1789,1812,146,572,0,0,0,0,13
동대구,2826363,327717,243625,368676,62787,94250,107535,47551,13207,568011,10480,42753,388211,823735,306230,9195,282145,250549,489752,1647186,0,0,0,0,0,2512,656,865,12664,16056,14382,128788,0,190,255,54,58,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,157,74,12,0,0,7561,0,0,1,0,515,0,0,0,0,69,0,46487,33615,7572,0,0,1441,1647,1597,23003,2482,7686,17964,0,0,0,0,0,0,44191,693,68104,148687,17374,248415,0,19637,27036,108948,84631,5395,12087,0,0,471,0,50
경산,50762,32521,0,30975,5048,0,9098,8451,1751,31831,1237,3421,46172,121321,62450,279733,41645,61559,120352,313728,0,0,0,0,0,0,0,0,1423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6230,4289,1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8144,0,0,0,0,0,0,0,5345,25399,31789,1130,5261,0,0,0,0,0
밀양,186311,19426,4455,22807,3391,2099,6573,4394,684,32354,547,1912,5889,17429,7356,247639,55976,20082,209593,716039,0,0,0,0,0,0,0,0,819,0,0,0,0,0,0,0,0,0,35,7,12,154,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,36,0,846,730,294,0,0,0,1,0,147,9,27,329,0,0,0,0,0,0,28751,0,0,0,0,0,0,0,5496,26249,32230,1475,9870,227,161,261,33,102
