0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,송정리,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,수색,능곡,일산,문산,청량리,성북,의정부,동안,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,군산,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,증산,태백,부전,좌천,울산,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주
서울,8142,2132,16399,441492,374171,469668,590515,229085,69380,2330420,21357,61036,111073,205680,29905,3584941,35844,258137,503298,3520086,0,188,0,319,0,485,334,276,304,617,0,6383,71479,132494,479629,81254,140412,74259,189063,58664,17517,322844,80619,10584,41223,46539,98800,79658,4719,1232,243,1473,118436,101063,125642,154130,76889,11540,166151,269903,1187701,6,0,0,0,0,0,0,425,501,0,0,0,0,0,0,40,0,0,0,5260,1871,702,0,140,0,6,0,11947,1304,36276,28797,2130,20131,2750,892,4566,25123,30829,2551,4453,2329,2812,11495,1541,597022
영등포,3865,11,0,257503,378706,0,599968,292773,83762,609355,22011,57067,81354,156459,18961,218428,24777,13914,49976,156574,0,176,0,3727,0,849,272,1613,491,528,0,3652,26737,124338,132592,54730,57677,24183,27755,24728,17116,49925,90353,11831,39413,36881,87170,56582,5536,1812,497,1894,166834,116230,142368,138805,75166,0,0,0,0,59,0,26,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,845,2403,0,0,0,0,0,9702,7286,720,17853,12716,875,9446,221,264,3370,15631,25123,1737,3536,1097,2819,12260,1670,79148
광명,17633,0,15,0,0,75271,0,0,0,306333,0,0,0,0,0,538644,0,42161,131891,453363,0,0,0,0,0,0,0,0,0,0,0,0,1589,8497,53698,5611,16119,5516,23793,8538,0,37681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102532
수원,495349,254973,0,1245,122122,0,230117,214419,59927,568830,14698,34603,59426,138456,15198,307909,26854,19638,75034,255359,0,62,0,1923,0,2164,630,741,1323,1233,0,5368,17107,80396,119982,36787,44766,17907,23315,17996,10245,44563,72827,6446,24472,21100,61942,48095,2418,758,266,1371,111935,66208,79801,105475,48534,1,0,0,0,33,0,40,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,8235,510,27953,15871,1196,16564,150,281,3812,21997,23317,1401,3615,647,1486,6441,940,63689
평택,342427,344419,0,156309,2890,0,27397,66560,25561,176874,4060,7299,10936,17360,4762,59304,5453,2908,12271,40242,0,0,0,12,0,1024,280,576,915,1006,0,497,4246,15624,25912,5787,7082,2622,4943,2744,1166,8310,19489,1141,3670,2671,9828,7293,521,277,122,960,21807,17148,18342,21451,7694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,1146,149,3644,1417,144,1616,13,75,464,2270,3890,203,925,76,299,903,113,10921
천안아산,490070,0,75254,0,0,0,0,0,0,125881,0,0,0,0,0,188852,0,15440,42682,189814,0,0,0,0,0,0,0,0,0,0,0,0,234,389,8837,572,1998,557,1493,0,0,2451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14020
천안,557955,579714,0,222501,32246,0,9446,229222,79651,530356,14451,19468,29392,45866,5688,93248,8358,4638,19908,69109,0,0,0,0,0,4151,852,958,2756,2189,0,1263,11832,55592,54644,11971,13946,4146,8716,4635,2395,16399,37039,1719,6992,4479,19411,14282,1757,666,349,1783,94621,131054,148917,121399,32929,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,654,77,0,0,0,0,0,280,2097,169,8483,4226,290,4011,21,106,678,4692,5459,296,1446,161,277,1017,182,15271
조치원,207836,282472,0,209065,62060,0,231500,3618,20354,320187,7679,9584,15980,16770,4018,44627,6616,3402,11999,37656,0,0,0,63,0,40285,94,67,151,0,0,84,4826,33822,29563,5702,7155,3975,4954,1988,1106,9388,16557,794,3161,2721,11331,9117,13942,9011,5483,32480,0,0,0,0,0,0,0,0,0,144,72,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,12,31,248,1246,0,0,176,0,253,1470,1379,56,1098,346,0,19,0,47,636,3291,3364,163,697,80,199,926,146,9577
신탄진,65470,84327,0,59513,25790,0,83010,22451,0,20537,3381,6267,5578,7188,1157,15583,2140,880,2820,7250,0,0,0,0,0,7548,28,46,131,0,0,0,1772,12030,8982,2502,3167,1260,1558,727,467,2302,1799,153,388,378,1090,883,1852,1312,1070,7060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,123,0,0,58,0,82,162,306,0,0,0,0,0,0,0,92,336,375,33,59,0,0,496,64,2174
대전,2475794,567201,294673,563008,163832,114573,507263,301383,17195,1705,34246,233210,144094,201814,23520,690119,24860,40809,159309,770682,0,0,0,454,0,70704,452,297,967,0,0,2619,8349,188820,167961,30543,45282,15100,25050,9748,4744,69104,46631,3013,12005,9207,39609,34573,25503,9125,9072,50892,0,0,0,0,0,0,24776,0,0,1944,3672,230,0,0,0,261,92,0,0,0,0,0,0,0,0,0,7,153,841,2703,0,0,578,73,949,4305,6748,170,11321,7915,555,5838,93,60,2025,10216,9726,525,1211,147,542,2090,301,80132
