0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,두계,논산,익산,김제,정읍,장성,송정리,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,군산,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,증산,태백,부전,좌천,울산,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주
서울,13277,2369,19879,561928,383350,565599,607307,226610,69089,2573986,21533,59158,102914,183379,27602,3713196,30948,320309,598069,3512000,0,1,0,9,0,394,116,269,299,989,0,5483,74496,127493,510441,78106,142806,66279,187478,61771,17573,349813,71664,9904,35353,46360,95979,78368,4791,1286,288,1303,116270,102289,124726,141299,73029,12543,124793,245947,1299236,4,0,0,0,0,0,0,1040,10,0,0,0,0,0,0,107,0,0,0,1135,651,5720,0,0,0,277,0,10048,853,31428,26182,1938,16878,762,724,3901,19075,24460,2407,3380,1365,2828,11213,1563,661595
영등포,3397,19,0,290819,377041,0,658837,297573,79655,568840,22191,53514,77129,143812,17713,174707,22030,10658,41757,112379,0,8,0,230,0,790,215,186,385,431,0,3246,26437,111352,115386,50203,52033,20483,23273,21828,16242,41538,79709,11209,31807,34994,78632,52360,5727,1846,591,1814,162427,111791,134135,121989,67437,0,0,0,0,5,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,1978,0,0,368,6685,0,0,0,0,0,7984,6119,585,16381,11647,821,8405,604,231,3062,12982,17458,1553,3159,910,2644,11085,1582,65707
광명,21470,0,9,0,0,105114,0,0,0,393942,0,0,0,0,0,659531,0,55620,173522,514861,0,0,0,0,0,0,0,0,0,0,0,0,2515,9762,65667,6926,20598,8229,29405,10682,89,44767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126280
수원,637454,300540,0,1328,101034,0,234083,213168,59308,601885,16263,33607,56741,136432,15053,276115,25186,16277,68961,206557,0,0,0,0,0,1981,668,628,1030,1022,0,5240,18135,76465,113573,36294,42362,17041,21248,17505,10234,41535,67868,5910,21969,20949,60382,48609,2510,820,313,1354,112815,66046,78556,96612,45707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2222,0,0,0,0,0,2,7646,439,26348,15487,1248,14712,357,238,3523,19854,20349,1302,3054,565,1492,5949,855,56953
평택,349295,348418,0,173010,2803,0,21755,65695,25569,190566,4647,7789,10685,18783,4767,56913,5519,3143,12274,35364,0,0,0,288,0,917,207,429,860,794,0,561,4885,16232,26537,6012,7043,2454,4860,2939,1276,8369,18943,1267,3720,2880,9340,7429,632,289,184,846,22077,16064,16966,20037,6969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057,122,3813,1478,158,1545,6,89,404,0,3413,225,748,96,265,923,123,10252
천안아산,585060,0,103096,0,0,5,0,0,0,190535,0,0,0,0,0,223555,0,16594,58587,214187,0,0,0,0,0,0,0,0,0,0,0,0,330,703,11957,586,2360,861,1458,35,0,2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15977
천안,580537,640638,0,231454,31827,0,9594,225092,87969,544263,15487,20623,28152,47061,5670,83532,7338,3933,18777,53428,0,0,0,0,0,4083,715,889,2628,1753,0,1256,12176,55015,54022,12571,13895,4514,8255,4737,2293,16733,32421,2053,6508,4614,19170,14981,1866,532,403,1660,89487,137201,149497,120890,32219,14,0,0,0,0,72,0,0,0,0,0,469,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,151,2252,153,7829,3873,254,3583,241,99,756,3816,4150,315,1246,178,380,1069,214,14362
조치원,201292,280499,0,207735,66224,0,243057,4067,21399,333591,7939,9602,13764,14460,3564,38609,5264,2984,10243,28365,0,0,0,0,0,37014,54,82,139,0,0,78,5578,33283,25497,5365,7008,3256,4441,2005,1167,8569,14066,675,2754,3066,10533,8911,15894,7828,5298,29850,0,0,0,0,0,0,0,0,0,144,216,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,472,30,134,590,0,1,72,11,214,379,1193,56,848,343,2,29,14,38,648,2824,2836,204,537,54,174,954,157,8773
신탄진,64613,79389,0,60266,26324,0,92136,22336,7,24186,3692,6969,5631,7131,1330,13980,2046,755,2511,5841,0,0,0,0,0,7682,31,30,101,0,0,0,2156,11959,8329,2657,2879,1420,1492,668,413,2054,1545,158,328,355,989,860,1935,1674,1125,6767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,40,116,0,0,58,6,69,150,304,0,0,0,0,0,0,0,104,359,335,49,54,0,0,390,64,1692
대전,2720374,521538,376189,586869,175025,179814,520096,320656,20978,1401,31558,243920,141696,213372,23072,749784,22331,47002,189883,795507,0,0,0,0,0,68988,395,311,840,0,0,2488,11047,193261,176542,29906,46352,15026,25156,10571,4859,72181,40968,2960,11218,9974,38079,33354,34729,9122,9305,47415,0,0,0,0,0,0,30681,0,0,144,2448,0,0,0,0,144,534,0,0,0,0,0,0,0,0,0,2699,85,262,2607,0,4,452,63,771,1454,5714,174,10329,7845,558,5123,708,114,1890,8239,7702,577,887,118,472,1794,308,79324
옥천,20182,20435,0,16284,4336,0,15124,6762,4263,37638,580,5956,8826,6691,967,10898,1292,419,2372,6096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,0,0,0,4,0,0,0,0,0,0,318,0,0,92,0,0,92,0,45,134,270,77,19,0,0,0,0,0
영동,51580,46459,0,30570,6681,0,19832,11620,7457,233444,4970,2017,23461,22886,4164,42819,3414,2172,8654,24494,0,0,0,0,0,0,0,0,161,189,0,21,2,0,0,0,0,0,0,29,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,455,11,265,145,0,51,142,14,103,907,824,51,164,0,0,0,0,0
김천,101199,73588,0,56703,10155,0,27159,13579,5071,146686,7380,23361,58,93273,23332,415521,37564,4858,24573,61928,0,0,0,0,0,0,0,0,6130,0,0,466,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,345,354,0,0,0,0,0,0,0,0,0,185,31,63,0,0,0,0,0,0,10724,8421,3571,0,0,18,15,3,62,11,304,1150,0,0,0,0,0,294,2623,175,2591,1241,71,1338,110,541,689,3609,3790,138,872,0,0,0,0,297
구미,180006,136981,0,137543,17657,0,47956,14639,6138,215486,5907,20676,82491,70,31759,1041066,122556,15525,81600,194043,0,0,0,0,0,0,0,0,4561,0,0,2848,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11244,7216,4310,0,0,3,17,10,138,75,413,1706,0,0,0,0,0,159,8014,262,6980,3142,258,2866,0,562,1658,6863,5628,293,1594,0,0,0,0,0
왜관,27594,17119,0,15681,4891,0,6051,4358,1543,24440,1041,3977,23804,30690,210,385892,81100,5252,18854,38078,0,0,0,0,0,0,0,0,1097,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4544,3215,857,0,0,0,0,1,27,7,80,270,0,0,0,0,0,126,940,83,0,0,0,0,0,121,514,1133,1051,120,591,0,0,0,0,0
동대구,3797152,161091,641015,280328,56879,213838,87046,39052,12691,732467,9954,40816,410886,1072407,398860,16519,397943,248563,526431,1449210,0,0,0,0,0,1340,501,505,8515,11710,16067,189178,0,162,0,543,309,0,0,0,0,0,0,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,44742,0,0,0,0,0,0,0,0,0,0,0,33664,19710,4516,0,0,1228,1537,1527,12004,2661,5636,15128,0,0,0,0,0,0,39734,385,99405,186759,23771,234409,3062,46130,31649,155092,102844,6277,10451,0,0,0,0,0
경산,30432,20714,0,25458,5531,0,7777,6107,2305,22439,1223,3266,37649,127103,84373,403729,63964,70630,141149,244012,0,0,0,0,0,0,0,0,857,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4989,3239,1013,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,11887,0,0,0,0,0,227,0,6736,33588,32235,1439,6025,0,0,0,0,0
밀양,352806,9538,60765,16109,3432,20457,4487,3663,710,52476,438,2552,6314,19591,6981,251472,69952,26187,290412,527883,0,0,0,0,0,192,0,0,1267,288,0,0,0,0,0,0,0,0,20,3,6,111,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,1080,719,415,0,0,0,11,4,80,16,57,388,0,20,82,22,0,0,35931,0,0,0,0,0,535,0,14949,97941,80685,3683,9985,205,119,160,11,33
구포,628438,42645,173258,74907,13351,67187,20563,12275,2110,186676,2296,8613,25705,89710,19798,522671,141955,340084,34047,55521,0,0,0,0,0,0,0,0,2882,0,0,0,0,0,0,0,115,0,108,124,120,790,0,0,0,0,1225,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,5815,4523,2797,0,0,19,30,36,2198,86,107,1517,0,0,0,0,0,0,39272,0,0,0,0,0,0,0,11713,9269,8703,2253,5452,1519,372,928,244,155
부산,3541917,95634,516617,198752,33079,213103,52309,29695,4239,760084,5217,23245,61784,198955,39656,1401901,244999,534475,60500,671,0,0,0,0,0,0,0,0,5374,28,0,0,0,0,0,0,0,1,31,7,64,188,0,0,0,0,535,0,0,0,0,0,240,92,40,16,0,0,36342,0,0,18,44,8,0,69,0,0,0,0,16157,11028,5416,0,0,76,81,88,1606,160,548,4983,0,0,0,0,0,0,57,0,0,0,0,0,0,0,4737,1507,1863,1077,1860,703,117,508,116,42
팔당,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1464,15433,3507,6738,116,1418,82,230,201,444,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,70,96,284,0,24,84,20,430,401,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0
양평,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18108,7973,10009,34405,26,6958,1052,1332,2296,2895,42,95,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446893,0,0,0,0,0,0,0,0,0,0,0,0,0,20,47,185,66,273,946,2379,786,39,1144,107,3088,2596,1443,117,579,237,0,0,28,0,0,0,0,0,0,0,0,0,0,0
양동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2547,8291,707,7599,15,424,23,69,59,223,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,21,89,0,3,120,27,114,95,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
원주,2,2491,0,227,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7253,36813,8954,1292,234,27734,5818,10406,9283,12881,98,328,0,463,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,264,0,0,0,0,0,0,260538,0,0,0,0,0,0,0,0,0,0,0,0,0,26,56,54,915,3442,2100,6111,22,368,11401,3432,34308,31510,4417,279,1945,633,0,0,491,0,0,0,0,0,0,0,0,0,0,0
