0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,송정리,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,군산,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,울산,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주
서울,6411,2892,18370,605119,393243,589323,625632,238946,73225,2651133,21253,66012,102894,177112,25171,3500218,29314,383166,658062,3305626,0,181,0,35,2016,629,554,421,283,314,0,6637,98006,123119,475091,73933,147226,73290,189132,59310,16237,349351,65381,9437,33767,42682,88250,75174,4919,1274,463,2733,110097,96494,123110,123064,66857,15919,157187,299214,1124016,0,0,728,0,0,0,700,2075,0,0,0,337,847,0,0,0,11385,0,0,1534,9798,15865,606,0,0,629,2473,9611,1743,32365,32737,1564,13563,1364,1140,3611,15589,20980,1656,1841,579,1087,10333,1505,622015
영등포,4218,0,0,300097,392644,0,707842,300535,85475,554297,21736,54520,69963,123783,16481,157139,20712,9059,35486,89555,0,14,0,20,0,632,203,461,743,360,0,4108,26936,105462,103312,46209,45062,18929,19898,18795,13798,36478,71438,9799,28234,32247,72483,49280,6052,1638,703,1557,151617,103600,127201,106786,61429,0,0,0,0,4,0,0,0,0,0,0,504,0,0,0,425,31,0,0,0,9934,0,0,0,9803,0,0,5,0,361,15165,5848,1310,17552,14515,718,7269,0,494,2614,10503,13930,973,1366,445,1112,10221,1506,59603
광명,21217,0,0,0,0,128307,0,0,0,458371,0,0,1596,5734,0,721877,0,69245,177564,579811,0,0,0,0,0,0,0,0,0,0,0,0,3322,10270,72812,7964,23090,9967,31933,11013,150,49586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131453
수원,699181,349815,0,1604,111305,0,308853,223801,62333,615251,15151,36492,54153,126431,13705,250589,24748,14747,59441,153711,0,0,0,1368,0,1978,572,628,1644,893,0,7363,19215,73239,105920,34418,41144,17163,18632,15503,9306,37260,62599,5357,20104,19781,56675,46848,2576,817,360,1157,103659,63164,74684,86071,40575,0,0,0,0,3,0,0,0,0,0,500,0,0,0,0,0,244,0,0,0,0,0,0,0,1572,0,0,0,0,0,0,7979,1355,27824,17557,971,12075,0,714,3481,17659,17066,928,1446,283,659,5581,883,52799
평택,371413,377333,0,201123,3979,0,31666,68026,25489,194000,4190,8133,10199,17748,4324,52831,5279,2642,11397,30489,0,0,0,0,0,770,210,387,844,741,0,646,5593,15240,23934,6065,7115,2253,4210,2647,1313,8524,12804,940,3202,2807,8841,7277,448,263,231,616,14591,13989,15235,16784,5886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042,202,3051,1300,103,1283,0,112,345,1801,2948,188,457,51,261,831,113,8993
천안아산,618076,0,130393,0,0,0,0,0,0,210367,0,0,289,1172,0,241936,0,15568,75493,249459,0,0,0,0,0,0,0,0,0,0,0,0,562,764,15894,669,3189,1030,3354,330,0,6822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17178
천안,614101,711891,0,312468,43067,0,23732,216012,86629,556061,15298,22252,26129,45084,5419,74032,7804,3713,16089,38488,0,0,0,0,0,4301,861,810,2550,1684,0,1608,13411,51700,49161,11805,13479,4166,7001,4383,2379,14563,20756,1648,5910,4587,18274,14675,1832,458,409,1888,74584,119766,152718,117495,33194,0,0,0,1,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,2307,448,8565,4561,204,2976,33,165,781,3086,3453,227,703,92,185,1428,202,13789
조치원,212173,284950,0,218568,78326,0,243554,2513,19363,351072,7210,10155,12615,13081,3232,34866,5768,2426,9300,23282,0,0,0,0,0,35589,11,41,39,0,0,58,5540,32407,24783,4792,6514,4252,6104,1836,922,7908,13009,667,2379,2367,8771,8067,13277,11214,6468,26103,0,0,0,0,0,0,0,0,0,72,370,0,0,64,0,0,365,0,0,0,0,0,0,0,0,0,4,23,60,711,0,0,65,2,82,875,1641,51,773,510,2,36,0,27,582,2499,3229,163,367,30,72,884,140,7782
신탄진,68531,85888,0,63478,26435,0,94898,20496,6,29794,2963,7052,5573,7091,1451,14877,2398,757,2362,5674,0,0,0,0,0,7525,14,7,37,0,0,39,2477,13737,9603,2531,2923,1878,1342,650,419,1956,1090,84,199,224,720,725,2101,1431,1463,5810,0,0,0,0,0,0,0,0,0,208,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,24,65,0,0,41,2,27,54,391,8,54,46,0,0,0,0,152,374,444,41,37,13,1,290,59,1476
대전,2806527,507965,452908,602658,182013,205887,543075,337269,25565,927,30583,253174,138879,210332,22883,725508,25885,60136,211350,781168,0,0,0,0,0,73020,99,196,290,360,0,3691,15827,195015,178862,29809,46751,14212,24676,9195,4498,76585,37018,2625,10945,8897,34599,32608,41331,9888,11663,50987,0,0,0,0,0,0,28787,0,548,1120,4026,0,0,272,0,72,1826,0,0,0,0,0,0,0,0,0,6,71,302,1875,720,0,302,25,412,5473,7640,672,14239,10103,585,4717,668,335,1696,7016,6701,365,504,64,198,1427,244,76206
