0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,증산,태백,부전,좌천,울산,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주
서울,22,3381,18506,760990,393211,625480,618447,239847,73866,2657361,22638,71135,117932,222148,22203,3397442,29365,383449,692319,3196442,1850,0,0,1,1198,698,860,422,1724,889,0,6686,92007,117195,442272,71627,150617,73742,245192,61541,17258,368672,62053,11486,29119,43659,85610,75441,5275,1269,380,1203,109553,93248,119707,108652,58302,24542,17121,199451,315542,1228032,27,11,0,0,0,0,2,0,0,0,0,0,1512,0,0,2689,0,0,1003,13728,24344,0,504,0,163,3733,9548,2128,31978,34756,1141,10300,3262,1916,3055,11574,17189,1166,952,156,30,9512,1430,545375
영등포,4611,0,0,392524,430137,0,751873,307644,89014,536532,23378,57064,64976,105173,15466,143147,20240,8620,32398,78697,0,1,0,1,2093,1238,1885,432,0,704,0,4286,27113,101617,91913,44981,41367,17526,19287,17374,13618,33140,67750,10063,27023,33251,72447,49985,6335,1787,664,1541,151230,104112,126767,95342,52109,22085,0,0,0,0,1,0,0,0,0,0,0,504,0,0,0,0,0,0,0,12555,0,0,0,9845,0,0,0,0,0,20645,5357,1378,18708,15116,600,6056,128,971,2322,8174,11107,807,847,128,87,9380,1523,53856
광명,21356,0,1,0,0,158250,0,0,0,477580,0,0,2965,10401,0,748186,0,75072,199093,593564,0,0,0,0,0,0,0,0,0,0,0,0,4309,7706,79630,6108,24529,10227,50404,6671,489,60382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121075
수원,830841,451591,0,2303,145230,0,378381,234913,70579,651609,16377,38125,54565,124939,13401,235166,24614,13169,53322,137447,0,0,0,684,1632,3754,1026,0,0,0,0,8115,20867,73126,94086,34202,39677,15715,18398,15354,9417,33862,61682,5395,19429,21892,55328,47980,2746,1030,382,1117,115987,64917,77424,81100,34109,20871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,496,0,0,0,0,0,0,7783,2199,29148,18155,829,10053,64,1867,3495,14900,14537,682,720,111,52,5553,967,48881
평택,368750,399663,0,241995,2721,0,44550,72831,27466,194646,4300,7758,10407,17735,4492,53080,5505,2744,11395,29853,0,0,0,0,0,1266,0,0,0,0,0,729,5750,15997,21805,5981,7051,2355,4280,2446,1384,8447,11188,958,3190,2927,8786,7608,464,295,163,674,21476,18115,17766,17790,5058,3908,0,0,0,0,0,0,0,0,0,0,0,0,0,88,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186,334,2694,963,91,1148,0,189,319,1652,2591,100,274,39,8,821,123,8434
천안아산,648989,0,159703,0,0,0,0,0,0,249500,0,0,495,2465,0,249447,0,22162,69670,264243,0,0,0,0,0,0,0,0,0,0,0,0,450,1470,15544,1170,3206,1045,6849,1196,148,14563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17236
천안,595382,733401,0,387118,56892,0,36419,235069,89741,532050,13027,20517,25599,43421,5954,72658,8646,3554,16169,36532,0,0,0,0,0,6133,551,13,0,0,0,2227,15421,47451,42046,11720,13629,3859,6449,3491,2232,12920,18154,1589,5625,4928,18778,15235,1389,549,457,2079,101632,139668,158678,108078,25899,15245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2630,678,9669,4795,209,2496,71,423,852,3057,4231,141,432,65,15,1155,184,12660
조치원,217221,289180,0,226897,77379,0,249196,2644,24762,373257,7803,11244,13355,14393,3949,36435,5319,2728,8555,21596,0,0,0,0,0,36173,0,0,0,0,0,62,5753,28000,23582,4525,6409,3369,5218,1613,943,7881,11877,712,2432,2628,7741,8204,13364,12577,6463,25288,0,0,0,0,0,0,0,0,0,21,0,280,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,6,79,213,0,0,30,0,20,51,1118,72,775,288,0,23,0,21,649,2272,2497,131,207,23,14,636,95,8353
신탄진,76872,90223,0,70394,27093,0,94055,24663,0,29109,3766,9158,5785,7902,1476,19692,6647,840,2564,5175,0,0,0,0,0,7531,0,0,0,0,0,20,4095,16076,10270,2613,2871,1607,1689,723,439,2511,2116,187,440,405,1393,1314,2492,1655,1649,6579,0,0,0,0,0,0,0,0,0,72,1576,6952,0,72,216,0,0,2520,0,0,0,0,360,0,0,0,0,2,23,35,0,0,4,0,15,12,438,5,51,35,0,0,0,5,257,641,583,37,71,13,2,318,63,1214
대전,2784922,496958,491158,632571,186429,250294,511615,357191,26114,1143,33622,277432,140399,200146,22865,724619,23487,63035,225369,753077,0,0,0,0,0,76004,1084,0,0,0,0,4565,26919,224534,183991,29177,47113,13786,30934,9138,5106,76091,38859,2830,11243,10625,36404,37107,46125,10265,13338,53896,73,263,2470,19072,25897,11007,0,32241,0,0,0,0,0,0,0,0,0,1750,0,0,0,0,72,0,0,0,2,39,407,996,0,0,100,0,486,4948,6567,1378,15505,11383,554,3848,64,807,1662,5072,5067,220,221,360,10,1412,299,69687
옥천,21543,21293,0,15687,4095,0,13220,6975,4294,36264,404,7766,7753,6726,1238,12145,1376,494,2512,5333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16,0,0,0,0,6,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,0,0,0,18,19,0,47,177,136,16,10,2,0,0,0,0
영동,66506,53203,4,36381,6897,0,20131,10020,8096,263657,7179,4777,23216,22027,3545,43478,3385,1953,9326,21183,53,64,2,430,0,0,0,31,192,0,0,73,0,0,0,41,0,15,0,0,0,0,124,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,78,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,907,18,524,169,1,447,0,34,147,666,781,458,83,17,12,0,0,832
김천,124469,61265,6625,53713,9583,612,24702,11814,5007,135604,7785,25480,3,124958,21657,407105,34269,4595,25049,49363,0,0,0,0,0,289,227,0,6163,0,0,2082,0,0,0,191,0,0,0,0,0,0,181,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,9832,9482,3222,0,49,11,4,65,4,80,584,0,0,0,0,0,0,2989,380,7210,3439,94,1847,0,3339,639,3174,3626,94,475,25,20,0,0,0
구미,245123,95430,25502,123485,16849,2290,44272,11527,6303,192247,6371,21812,117126,36,49607,1090376,128549,14667,81618,149830,0,0,0,0,0,45,116,750,3157,0,0,5493,0,0,0,0,0,72,0,0,0,0,8,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12453,7777,3924,0,3,21,6,135,61,265,1055,0,0,0,0,0,0,9010,1178,12718,4988,264,2410,0,3271,1901,6538,4807,130,486,58,28,0,0,0
왜관,23220,15494,0,14786,5169,0,6390,3605,1168,26169,1077,3978,23610,47995,522,425526,70486,5398,20439,32200,0,0,0,348,0,504,44,0,756,0,0,407,0,0,0,200,0,0,0,0,0,0,170,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,3484,3516,673,0,1,0,0,19,4,33,663,0,0,0,0,0,0,954,67,1147,492,0,0,0,347,536,1290,1170,103,284,30,4,0,0,0
