0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,울산,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주
서울,175,3494,18728,980804,421193,663992,601419,220403,72433,2643565,23927,86748,114825,199575,21010,3320747,26169,356629,697339,3070042,0,47,0,1172,1510,2226,586,552,5165,116,0,6298,96623,116295,419737,69271,152642,73070,277656,60525,13868,348559,59455,8073,28507,43994,80785,71459,4770,1215,402,2789,100366,89172,122391,110796,55351,24333,10071,130293,154074,565340,31,5,0,0,0,0,92,398,0,0,0,0,1224,0,0,0,92,398,0,0,0,0,1224,0,0,6051,9015,2100,27027,30115,1016,8985,5605,1951,3668,10311,14292,958,726,113,22,9467,1423,496046
영등포,4229,14,0,501739,489120,0,752312,285805,88345,500261,22713,62454,63192,89470,14326,122911,17617,7536,28424,64669,0,5,0,52,720,1681,199,600,0,122,0,3777,24726,96124,85394,40841,39382,16051,18178,15527,11502,28711,63456,9939,25938,30839,67501,46123,5494,1769,701,1345,121684,98829,125417,91205,48762,23308,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,95,0,10123,4511,1409,16531,13984,496,5662,432,1008,2378,7018,8750,641,603,93,32,8731,1386,46647
광명,24366,0,0,0,0,183360,0,0,0,486893,0,0,1811,6126,0,731435,0,72121,199290,570272,0,0,0,0,0,0,0,0,0,0,0,0,4083,6961,80792,6413,25495,9800,57762,6098,78,59568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110958
수원,1008880,509793,0,3615,225537,0,456600,223936,71045,617243,16105,36410,57461,118795,12695,213101,22431,11568,45002,111683,0,0,0,37,522,2837,504,638,0,134,0,7707,21105,70975,89529,33941,38576,14813,19208,13882,8655,30700,58604,5074,18834,20748,52083,45580,2405,930,488,1085,67919,60153,77741,79344,32274,22936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,314,0,0,0,0,0,0,0,0,144,314,0,200,7118,2145,27572,16784,749,8877,466,2096,3213,13581,12452,633,742,73,17,5128,868,44501
평택,400874,468692,0,275960,2069,0,47483,71934,27074,186610,4462,7177,9473,16819,4448,47664,5209,2481,9662,25501,0,0,0,0,0,999,0,0,0,0,0,637,5499,15295,20070,5324,6902,2261,4611,2280,1248,7501,10726,786,3159,2785,8967,7232,446,222,131,517,11415,17791,19908,18703,5140,4561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,158,1024,272,2819,959,103,1279,95,207,321,1593,2119,105,183,37,2,805,139,7896
천안아산,681892,0,182951,0,0,0,0,0,0,284279,0,0,789,3304,0,260462,0,24134,77343,266088,0,0,0,0,0,0,0,0,0,0,0,0,1130,1285,17432,1131,3782,969,11354,1919,27,16874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16633
천안,571452,737818,0,456957,62562,0,35550,251797,87624,486760,13552,18732,23807,41092,5465,65630,7804,3200,13852,28017,0,0,0,0,0,5084,37,0,0,100,0,2065,15253,45482,36655,11107,12685,3831,6857,3153,1998,10404,16376,1482,5550,4754,17687,14792,1406,539,467,2516,43342,148859,152324,103850,22623,16277,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,173,2421,707,8598,4360,209,2095,31,425,846,2677,2952,143,334,123,11,1130,170,11032
조치원,194765,270855,0,214884,68577,0,248554,2429,26730,362349,7778,9999,12687,13531,3678,33339,6119,2241,7451,17747,0,0,0,64,0,33325,0,2,0,0,0,57,6435,24269,22490,4627,5599,3627,5125,1720,894,6796,11372,678,2256,2796,7626,7729,12115,11657,5982,24988,0,0,424,0,0,0,0,0,0,0,0,144,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,99,1082,61,623,286,2,30,0,25,575,2182,2032,86,144,7,1,564,127,7186
신탄진,75065,90502,0,71480,26038,0,88747,27752,0,30048,6233,8062,6246,7488,1521,17918,9570,847,2560,4699,0,64,0,64,0,7598,0,0,0,0,0,0,3728,15019,11258,2492,2972,4106,2007,786,450,2486,2172,174,514,499,1398,1390,2907,2853,1581,6584,0,0,0,0,0,0,0,72,72,72,552,9608,0,0,0,0,0,4968,0,0,0,0,360,0,0,0,0,4968,0,0,0,0,360,0,0,14,350,0,0,0,0,0,0,0,213,551,401,33,43,12,3,334,59,999
대전,2744572,474509,501761,609036,174319,288491,470231,357326,29052,1288,36530,280944,134449,190387,21694,706869,21640,62888,223526,697973,0,0,0,0,0,72599,0,215,0,0,0,4012,34445,242099,180173,28448,46177,13924,34831,8904,4515,70265,36120,2577,10299,10033,36665,34352,44920,11440,14096,57485,102,283,3434,23572,25078,12223,0,34720,0,0,0,0,0,0,805,0,0,1290,0,0,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,4282,4880,1266,14592,11269,505,3571,53,1070,1866,4537,4028,167,145,31,7,1691,262,62190
