0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주,울산
서울,345,4182,25793,1256812,509885,780880,649298,232058,81112,2819392,25429,68770,107044,225863,20643,3443006,26384,381191,712653,3305577,0,6293,0,180,1030,1778,1174,1594,0,303,0,5163,82184,117176,431058,67911,166672,71852,321670,68645,13899,336495,61700,7689,29924,44476,85019,70995,42019,1695,467,2113,127488,93685,124473,112277,52210,24364,0,4615,0,65,0,0,0,0,0,0,720,0,0,0,0,0,1440,288,0,13732,0,0,7254,14908,714,0,216,0,2412,2332,6148,1509,119576,1018,8982,2349,1468,3819,22990,20087,1001,679,106,25,9318,1404,495181,167948
영등포,4793,0,0,652269,592109,0,827506,284597,98712,497037,23719,55169,57892,84159,13311,116163,16709,6873,24220,61741,0,331,0,0,1872,1619,114,0,0,179,0,3688,24640,95485,83636,40148,37338,15930,18312,14211,11088,25473,62411,9027,26830,31128,67114,44054,5217,1962,716,1596,148090,102974,133956,90646,48400,23973,0,0,0,1,1,1,0,0,0,2,4,107,0,0,0,0,0,0,0,1652,0,0,0,568,0,0,0,0,0,1797,3353,898,13095,577,4912,1166,885,1998,6727,7619,713,531,92,17,8284,1234,43139,12035
광명,31187,0,0,0,0,213770,0,0,0,509007,0,0,1633,11723,0,759231,0,84737,190646,639855,0,0,0,0,0,0,0,0,0,0,0,0,4339,7179,85757,6501,26659,11582,70237,6370,109,62883,0,0,0,0,0,0,7783,0,0,0,0,0,0,0,0,0,0,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14404,0,0,0,0,54,2991,1915,0,0,0,0,0,0,112585,34000
수원,1342229,686237,0,10706,306514,0,551919,233453,80508,616602,17329,37839,50650,112339,12767,231262,21738,11800,41845,140607,0,0,0,0,2392,2622,345,0,0,94,0,7023,21925,74671,89429,32527,38490,15135,20067,14091,7751,27865,59635,5586,21792,21668,51935,45711,2486,916,540,1603,96057,63554,84829,80570,32548,24408,0,0,0,132,0,0,0,215,0,0,0,0,0,0,0,0,72,0,0,0,0,0,257,0,0,0,0,0,0,0,5367,1863,20682,751,8478,926,2069,3135,13607,12134,654,539,51,17,5087,882,44896,31415
평택,477113,573996,0,383286,4538,0,66604,76209,29271,200180,5157,8401,9503,18114,4446,48943,5146,2577,9837,24565,0,0,0,0,0,1463,0,0,0,14,0,562,6642,16763,22151,5456,7305,2310,5275,2385,1288,7990,11397,763,3475,3031,10253,7771,560,553,270,669,21042,19110,21939,19945,5366,4505,0,0,0,0,0,0,0,0,0,0,0,0,0,195,86,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843,170,621,118,1455,0,131,393,1954,3110,112,193,23,1,762,135,8112,1727
천안아산,779761,0,214360,0,0,0,0,0,0,323968,0,0,1018,5092,0,289433,0,24209,81518,307267,0,0,0,0,0,0,0,0,0,0,0,0,1576,1405,19891,1249,4558,1116,15857,2376,57,19101,0,0,0,0,0,0,683,0,0,0,0,0,0,0,0,0,0,11881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5899,0,0,0,0,49,396,312,0,0,0,0,0,0,16575,13499
천안,616845,822402,0,572642,82085,0,40107,268522,91085,482597,14476,19782,24043,41284,5847,61086,6922,3573,12642,26850,0,0,0,0,0,5593,0,0,0,44,0,1654,15317,48241,34119,10337,12065,4193,7037,3129,1735,9177,16490,1342,6204,5584,19927,15612,1877,792,676,2960,40955,152740,163631,109876,21731,16401,0,0,0,257,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733,1633,430,3579,146,1991,401,358,697,2526,2753,168,255,39,8,1034,168,11024,6535
조치원,208550,279794,0,225286,68059,0,259522,2823,26565,389792,9155,10994,12194,13735,3833,34606,5018,2435,7736,18982,0,0,0,68,0,35951,0,0,0,0,0,11,6792,24840,23456,4754,6191,4157,5221,1671,954,6993,12176,784,2605,2677,8937,8112,13356,12975,6645,25816,0,0,0,0,0,0,0,0,0,58,0,504,72,0,0,0,31,144,0,0,0,0,0,0,0,0,0,4,56,155,0,0,15,0,163,235,846,16,27,0,50,268,1,612,2128,1963,95,126,16,5,508,111,7346,145
신탄진,83903,101963,0,80753,28607,0,91481,27899,0,42579,5901,10193,6164,8409,1670,19712,7844,720,2840,5684,0,0,0,8,0,8322,0,0,0,0,0,0,4870,16565,12481,2851,3259,3203,3358,755,515,2532,2294,197,587,468,1748,1506,4075,3217,2259,8536,0,0,0,0,0,0,0,0,0,0,864,10580,72,144,216,216,99,6120,0,0,0,0,288,0,0,0,0,1,9,37,0,0,15,0,24,26,540,0,0,0,9,21,0,205,644,372,37,36,8,5,313,48,1040,0
대전,2905855,477502,524225,606840,189060,331062,469265,386887,38994,1717,41346,305481,137521,203998,24115,731581,21921,60395,223405,727564,0,0,0,170,726,82596,0,124,0,0,0,4034,39049,269454,191259,28669,49166,15328,39997,8491,3590,69355,39461,2633,11321,11671,38201,34595,53434,13450,16507,62986,91,224,2658,20883,20902,10917,0,39423,0,657,0,0,0,0,0,0,197,901,0,0,0,0,0,0,0,601,0,15,134,1337,0,0,75,0,36,6024,3832,973,23367,490,4029,472,1013,1614,6561,5631,164,134,21,9,1366,278,65408,42639
