0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주,태화강,여수엑스포
서울,489,5434,35710,1397534,594749,949079,703677,237266,94454,2991889,28210,73413,75855,342576,23534,3257198,29554,238869,534016,3828326,0,4141,0,1,0,3497,0,5287,31,434,0,2832,86560,121060,421724,68262,159149,84605,350150,69220,12452,335032,79341,8789,29312,41205,88548,267860,1573,514,2463,147827,99061,133326,114247,53557,27039,0,5581,0,0,0,0,0,0,0,288,10946,1050,515,0,0,1222,0,0,17949,0,0,2,16268,1343,0,720,789,90,270,6479,0,596917,810,7005,4237,1122,22522,297787,176942,785,480,72,10,9396,1402,478154,946750,81768
영등포,5029,1,0,788363,682303,0,892806,295215,112514,531259,25951,58717,54369,84918,14120,137647,17469,7560,25992,88512,0,0,0,0,864,1256,432,471,0,0,0,2133,26975,101493,89792,40158,38021,16267,20024,13750,10179,24234,63005,8301,24068,27938,54944,6496,2019,774,2718,166016,110767,144781,97525,50114,27769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,985,0,0,0,956,240,0,0,0,0,3184,3168,0,1153,467,4523,241,751,1271,3997,3496,610,498,61,21,8198,1369,38467,0,38528
광명,41005,0,2,0,0,221818,0,0,0,508236,0,0,0,44001,0,635562,0,35501,67170,716829,0,0,0,0,0,0,0,0,0,0,0,0,4841,8204,87254,6930,27310,13851,79473,6336,25,65385,3599,0,746,425,5081,67717,0,0,0,0,0,0,0,0,0,0,1392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110554,0,0,0,0,1595,74652,37491,0,0,0,0,0,0,107308,232847,5307
수원,1507550,816460,0,14052,365566,0,618221,258121,88041,616778,19509,41151,50046,116503,13756,338671,21057,12649,42428,324720,0,0,0,0,1248,1988,0,50,0,0,0,3460,23001,78592,96916,32648,38324,16772,22427,13991,7657,27678,59729,5020,19791,20321,46586,3728,908,567,1341,111499,68926,89905,84242,33628,27540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0,0,376,0,0,414,0,424,0,3515,0,41598,595,6752,220,1269,2520,8322,6561,595,501,63,12,5026,954,42048,62146,43805
평택,555963,655027,0,440777,5447,0,79778,80467,32878,224254,6540,9962,10864,22521,5036,57245,6112,2603,11192,26660,0,0,0,0,0,1606,0,501,0,0,0,370,7755,19343,25313,6314,8021,2872,6254,2658,1458,8242,11932,916,4049,3424,10586,1005,813,225,894,31776,20104,26444,21246,5528,6077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1219,0,69,120,1418,120,110,449,1748,2031,98,203,14,10,793,123,9498,0,8937
천안아산,926784,0,228837,0,0,0,0,0,0,402740,0,0,0,12225,0,291223,0,16587,62116,322921,0,0,0,0,0,0,0,0,0,0,0,0,2003,1582,21747,1731,6184,2148,20529,2958,28,21749,313,0,0,171,857,5011,0,0,0,0,0,0,0,0,0,0,17500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40642,0,0,0,0,1182,13319,8042,0,0,0,0,0,0,18753,95410,1138
천안,674890,897674,0,624612,85255,0,45920,291595,99990,511781,16843,20838,24683,46387,6179,68312,8246,3429,14798,32816,0,0,0,83,0,5862,0,0,0,91,0,974,18632,53085,40211,10505,12627,4841,6434,3233,1968,8670,17990,1545,6448,5109,18950,2647,1053,876,4128,43718,183850,192078,122416,22752,19863,0,0,0,244,0,0,0,0,0,0,137,127,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,811,0,1201,0,117,182,2295,107,217,661,1988,1778,129,292,48,7,910,155,11976,0,16476
조치원,213679,291215,0,250287,74474,0,279431,3106,29759,406939,9288,13846,12405,14558,3704,33228,5134,2228,7954,18880,0,0,0,0,0,39492,117,0,0,0,0,0,8261,26478,26277,5628,6739,3793,6637,1832,1038,6983,12966,610,2588,2794,9569,17007,13572,6990,26415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,936,0,0,0,0,0,0,0,1,3,186,506,9,0,34,0,128,107,1175,0,0,0,92,164,0,455,1354,1013,60,99,15,3,433,68,8071,0,8845
신탄진,97280,117787,0,89322,31594,0,100568,32232,0,56340,6948,11368,6605,9333,1746,19245,10072,715,2982,6225,0,0,0,0,0,9037,20,0,0,0,0,0,6828,19846,15016,3691,3774,4294,3245,986,681,2855,3419,270,686,678,2159,6890,3541,2129,9219,0,0,0,0,0,0,0,0,0,0,0,0,72,288,72,12528,0,6336,0,0,0,360,0,0,4,0,0,23,67,0,0,7,0,60,27,481,0,0,0,670,9,0,185,635,294,24,34,5,0,324,60,1468,0,2029
대전,3045263,521812,511594,641550,213381,402479,506590,411218,52539,912,49417,325697,127402,219204,24875,719821,25393,46669,156479,757516,0,0,0,0,380,88125,94,0,0,0,0,1847,38451,314229,221881,30032,50468,18618,46961,9454,4397,74327,43373,2556,12690,11527,41323,95112,17634,18903,72330,37,59,814,6228,3822,2528,0,39980,0,0,0,0,0,344,0,0,0,0,0,0,0,5,0,0,824,0,35,287,1553,26,0,83,0,248,4856,6128,0,101887,465,4224,833,766,6080,55857,31471,171,358,118,204,1598,297,72129,214455,39530
옥천,25221,24362,0,19025,6330,0,17092,8636,7054,51915,495,20402,7295,7275,1402,12709,1745,515,3014,5342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,0,18,0,54,56,0,47,128,136,13,14,11,1,0,0,0,0,0
영동,68797,58284,0,42038,8942,0,20821,12100,10614,322266,19229,8646,29718,23376,3811,45731,3730,2458,9550,21731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,38,0,0,0,0,0,0,0,0,0,0,50,115,177,94,814,242,105,2,0,22,37,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979,40,294,0,534,116,0,140,934,657,87,163,65,31,0,0,0,302,0
김천,72458,53745,0,51119,9942,0,23791,10995,5875,125315,7902,30763,0,187497,28605,406340,32327,3886,22946,38124,78,217,0,8,0,138,0,0,6096,0,0,638,0,0,0,0,538,0,0,0,123,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,105,83,36,738,527,76,50,0,322,0,0,15329,8894,4151,0,60,3,1,21,5,102,655,0,0,0,0,540,0,2411,0,244,110,2127,151,2101,423,2278,1581,63,412,18,39,0,0,0,0,0
구미,347992,86052,39529,118888,23180,12374,47654,12108,7729,225013,6954,23861,178784,96,73076,1326451,140040,16251,91825,180491,0,0,0,0,0,145,0,0,4338,0,0,2461,0,0,0,0,0,0,0,0,195,0,0,0,0,0,481,394,0,0,0,0,0,200,0,0,0,0,2727,0,0,0,0,0,0,0,0,0,0,17473,8460,4024,216,9,12,11,87,59,994,1738,0,0,0,0,0,0,8990,0,2701,429,2947,196,4070,1299,6671,3676,151,524,59,124,0,0,0,11215,0
왜관,23718,14639,0,15308,5854,0,6816,3727,1720,28185,1548,4710,31090,73021,1348,526180,80849,4472,21001,29902,0,0,0,0,0,105,0,406,1210,0,0,0,0,0,0,0,7,0,0,0,32,0,0,0,0,0,106,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5061,2625,920,0,3,3,2,2,3,34,249,0,0,0,0,0,0,1599,0,0,0,0,90,0,345,1117,728,67,256,21,20,0,0,0,0,0
동대구,3351417,134833,643751,350721,58388,286060,70108,25976,13910,719541,11050,42205,403590,1358755,525868,33166,557646,239739,515553,1329950,0,0,0,0,0,0,276,450,11714,12276,12912,216898,0,0,0,0,403,288,0,0,0,0,500,0,0,400,2291,41629,0,0,0,0,0,991,0,0,397,0,34625,0,138,0,0,0,0,0,0,0,0,34083,20564,6242,504,1310,1521,1749,10639,2093,4789,15502,812,0,0,0,72,0,48381,19122,191039,7804,65529,30386,74415,50527,200324,71631,1004,1575,823,573,1633,0,0,354683,0
경산,28493,17614,0,22478,6475,0,8518,5512,8206,23349,1623,3607,32747,144216,85303,564297,110251,91792,169793,201430,0,0,0,0,0,0,0,0,949,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,718,0,0,0,0,0,0,0,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5469,3294,1093,0,4,8,0,30,5,38,485,0,0,0,0,0,0,11938,0,0,0,0,6055,0,13289,52603,30548,471,2072,387,167,0,0,0,0,0
밀양,225176,6576,37803,13423,3150,21744,3463,1936,619,42662,471,2300,4724,20123,5456,244708,84689,60769,403183,376108,0,0,0,0,0,0,151,0,824,0,0,0,0,0,0,0,330,72,33,10,7,77,0,0,0,0,1052,1035,0,0,0,0,0,0,0,0,0,0,705,0,6,0,0,0,0,0,0,0,0,942,462,301,0,2,7,3,24,3,17,622,0,0,0,0,1,3,29143,143,39,0,95,10026,0,32853,139316,53422,1054,4426,572,144,50,24,12,136,0
구포,534150,26764,83697,45977,11972,64902,14864,7119,2371,153632,2692,9470,23523,93955,22308,485659,168603,424337,55593,78240,0,0,0,0,0,0,144,0,1948,0,0,0,0,0,0,0,401,0,98,41,47,296,0,0,0,154,2534,4106,0,0,0,0,0,0,0,0,0,0,2483,0,16,0,0,0,0,0,0,0,0,6446,4280,2239,0,9,10,3,99,152,132,2180,0,0,0,0,42,7,29485,1400,1959,33,1372,0,0,7430,21983,7390,2878,9245,2033,291,338,56,38,988,0
부산,3892343,82574,717172,320881,26194,326084,30279,16035,5141,743719,4453,21000,41178,198541,34003,1303288,216550,394929,81849,650,0,0,1,408,0,0,41,0,3498,0,0,0,0,0,0,0,466,216,12,6,16,62,0,0,0,45,500,79746,0,0,0,203,156,99,0,0,0,0,45095,0,593,0,0,0,0,0,0,0,0,14949,8942,3742,432,48,37,32,1386,89,628,4923,0,0,0,0,345,0,334,520,98003,7,597,0,0,2141,1873,872,730,3383,523,268,161,43,7,142156,0
팔당,0,2,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,2758,2053,9368,67,1829,175,284,325,370,0,0,0,0,0,0,28,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,286,149,298,0,28,253,60,708,668,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
양평,4141,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,2838,6532,22607,66973,205,14440,1971,2802,3438,4188,187,158,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216328,0,0,0,0,0,0,0,0,0,0,0,0,0,300,31,542,1006,2773,382,51,1455,168,3479,2332,1374,188,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0
양동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1972,22660,672,8149,16,1086,55,162,162,226,3,12,0,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77,116,298,0,3,100,29,249,236,11,3,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
원주,98,0,0,0,0,0,83,0,0,0,0,8,0,0,0,0,0,0,0,408,9009,70645,9168,1571,109,40714,6370,16674,9813,12911,392,880,0,0,405,0,387,0,0,0,0,0,0,0,0,0,281,0,0,0,0,77,146,153,0,0,0,0,0,0,0,348282,0,0,0,0,0,0,0,0,0,0,0,0,0,46,92,3964,2075,5965,982,203,12599,2976,21055,18540,4551,332,1580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2103,0
신림,0,864,0,432,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,7,430,8,407,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,820,0,0,5775,864,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,35,10,0,0,9,4,30,31,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제천,3859,1514,0,3292,1793,0,6922,39537,8273,84793,0,0,138,145,105,0,0,0,0,0,2075,12435,1517,39300,102,145,8522,16493,27361,19892,444,1252,0,1,390,0,227,115,1096,0,0,379,0,0,749,409,109,119201,13402,11602,68907,0,39,180,365,103,0,50,28,545,771,149682,490,0,0,0,0,0,0,0,0,0,0,0,0,0,72,3369,10402,18732,5587,128,15660,3957,28425,15465,5661,766,2011,0,566,892,0,0,0,632,0,0,0,0,178,0,928,4287,125
단양,0,432,0,0,0,0,0,117,20,94,0,0,0,0,0,276,0,151,144,41,142,2116,125,6869,1,9527,0,1423,3533,5275,205,397,7,0,0,0,286,20,306,23,29,38,0,0,0,0,0,108,0,0,0,0,0,0,167,0,0,0,0,0,0,27218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,8,264,41,0,0,0,0,0,0,1984,343,1087,0,212,2,0,0,0,92,0,0,0,0,21,0,25,3145,0
풍기,3871,456,0,48,518,0,0,0,0,0,0,0,0,0,406,450,0,0,0,0,260,2857,183,17009,20,16975,1425,136,4076,18873,169,268,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,383,28,51,28,52534,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,24,412,332,0,0,0,0,0,0,1216,115,650,0,0,65,0,0,0,0,0,0,0,0,0,0,4,1771,0
영주,161,0,0,0,0,0,0,0,0,0,0,0,6403,4489,812,11752,1113,881,2257,3954,329,3519,192,9585,49,29971,3910,4789,0,71112,2543,2491,0,352,0,0,0,0,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,352,0,0,0,0,0,0,63071,0,0,263,0,0,0,0,4293,4258,2519,0,1419,6592,9777,5923,1542,8939,8981,0,0,0,0,0,0,4997,761,3831,0,702,526,2969,41,45,406,0,415,4,0,35,0,45,7738,0
안동,2,179,0,94,14,0,135,0,0,0,0,0,0,0,0,13775,0,0,0,0,384,3844,189,13312,30,21770,5726,18334,73498,206,20892,6499,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,119,126,178,445,143,240,0,0,0,0,68739,0,0,0,0,0,0,219,0,0,0,0,3225,2401,1789,3928,540,3829,5223,0,0,0,0,504,0,10277,1623,9249,0,676,394,8907,191,200,405,29,265,12,0,33,0,85,14195,0
