0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주,울산,여수엑스포
서울,1835,6066,42809,1429165,625762,1016911,695618,247495,101562,3027152,29000,74596,72744,353334,22873,3212472,30986,214113,492413,3820215,0,0,0,0,0,640,912,510,680,205,0,2162,89525,116014,370230,66696,139168,84891,331525,64466,11796,297022,140491,8370,36345,39173,148064,329162,1603,550,2177,146782,97446,134734,107038,51750,25443,576,6494,0,73,0,0,0,0,0,0,0,4185,288,0,0,360,2160,0,18486,0,0,566,9921,208,0,938,0,691,2329,6756,0,579575,725,5871,4149,1151,22875,327852,181629,834,3304,40,5,7722,1273,456755,1025533,323015
영등포,5390,3,0,875959,702775,0,917544,306913,118796,527203,25769,58333,52188,79247,13300,128334,16685,7089,22894,84719,0,0,0,0,0,629,0,0,0,60,0,1875,27760,97214,85844,39131,34358,15282,20676,13912,9790,22290,61102,8276,19313,24398,42354,6966,2073,737,4366,167351,112049,150279,96298,48112,26634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,70,0,214,0,0,0,0,0,724,3561,0,659,405,3625,707,724,1122,3286,2759,491,397,49,6,7101,1298,33747,0,43203
광명,46702,0,4,0,0,225026,0,0,0,508800,0,0,0,49223,0,625835,0,30789,53240,727479,0,0,0,0,0,0,0,0,0,0,0,0,5641,10097,78867,7565,26721,16594,90951,6762,58,67193,19121,0,4099,1757,24401,78480,0,0,0,0,0,0,0,0,0,0,1786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121606,0,0,0,0,3576,90877,41494,94,551,0,0,0,0,104493,276081,47704
수원,1528287,852641,0,16501,384036,0,664228,265451,93512,629324,18770,41910,49313,110976,13566,338121,21950,13090,40479,334086,0,0,0,0,0,2890,0,477,0,0,0,3038,23724,78002,95179,32392,37312,17174,23965,14388,7720,27188,63428,5268,17311,18790,40387,4467,1147,489,1788,113578,69225,92363,84270,32912,28469,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,185,3502,0,40871,549,5871,46,1212,2113,7665,5193,569,472,47,21,4316,874,38253,60810,61764
평택,612038,684513,0,397347,6192,0,89975,86870,32478,229171,6877,10373,11584,23342,5092,57673,6592,2812,11505,27288,0,0,0,0,0,1434,0,0,0,0,0,352,7719,19743,27039,6645,8442,3072,6566,2746,1438,8611,13371,846,3619,3178,10915,1305,765,226,887,34841,20832,26275,23276,6098,8683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,0,82,115,1308,22,117,481,1793,1644,95,195,11,3,738,181,9066,0,14198
천안아산,975109,0,231529,0,0,0,0,0,0,414489,0,0,0,13442,0,292639,0,14989,58687,322358,0,0,0,0,0,0,0,0,0,0,0,0,2506,1491,21951,2081,6477,2664,22244,3351,11,22578,1500,0,282,139,4482,5464,0,0,0,0,0,0,0,0,0,0,13629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43989,0,0,0,0,1822,20042,10513,16,125,0,0,0,0,21902,104333,7442
천안,678217,927771,0,663470,97676,0,48942,291415,105027,484510,16949,21348,24238,45081,6215,67140,8318,3546,13631,31082,0,202,0,59,0,6378,0,0,0,0,0,872,17860,55745,39985,10683,12506,4882,6518,3244,1795,8202,20927,1362,6032,5563,18464,3773,1058,1036,4121,53270,175414,203911,136033,24278,23680,0,0,0,175,0,0,0,0,578,0,41,226,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,421,814,1739,0,207,191,1584,69,331,608,1799,1418,111,258,507,6,979,194,11050,0,23596
조치원,222849,305543,0,260468,83455,0,283547,3339,33492,403496,9138,13478,12081,14543,3633,32636,5532,1966,7966,18096,0,0,0,22,0,42317,0,0,0,0,0,0,9164,26354,28015,5894,6935,4189,7241,1913,1080,7728,15226,740,2907,3130,9857,19668,14926,7811,28730,0,0,0,0,0,0,0,0,0,0,72,0,0,72,0,792,0,466,0,0,0,0,0,0,94,0,6,98,213,0,0,12,0,88,397,1189,0,16,0,69,0,0,370,1354,856,61,92,27,5,404,88,7683,0,16042
신탄진,102030,123522,0,94061,32110,0,106048,36006,0,61471,7708,12476,7408,10737,1975,21031,11186,829,3267,7337,0,0,0,5,0,10143,0,0,0,0,0,0,7084,22936,16183,3875,4400,4493,3790,1282,648,3707,3440,186,635,1520,1918,9233,4311,2038,9985,0,0,0,0,0,0,0,0,0,0,216,0,144,72,72,10872,0,5792,0,0,0,0,0,0,8,0,7,37,86,0,0,4,0,95,226,505,0,0,0,4,0,0,168,915,243,22,41,2,2,340,86,1478,0,3803
대전,3068513,523450,519267,645872,215024,414002,477843,411620,57586,783,53793,337104,130345,222377,25488,719754,26319,44317,149667,768365,0,0,0,828,0,93621,0,0,0,0,0,1812,39331,319935,212608,29815,49645,20346,49726,10473,4452,72156,56269,3033,14427,13835,51221,102237,18964,20763,72606,17,49,782,7035,3601,2707,0,44136,0,3,0,0,0,0,0,0,0,1112,0,0,0,72,0,0,75,1,20,261,1013,1008,0,80,0,233,1655,5318,198,107585,483,4696,0,972,7112,68514,35604,206,729,344,3,1398,302,71845,257970,78996
옥천,26344,24332,0,18356,6478,0,16895,9437,7841,55509,681,21384,6805,7723,1651,12462,1544,510,2765,5569,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,0,0,0,57,0,0,21,154,165,24,14,4,2,0,0,0,0,56
영동,69621,58762,0,43184,9278,0,21213,11890,12548,332671,20028,7902,27303,23917,4238,46687,3552,2299,9237,19525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,57,186,0,0,0,0,0,0,0,0,0,0,222,200,80,50,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282,449,0,0,604,0,0,231,980,750,103,374,19,99,0,0,411,992,232
김천,69655,52461,0,51578,10476,0,23861,11060,6439,128377,6778,27913,8,203034,29896,410655,32077,4230,22265,37222,243,0,0,0,0,0,0,0,7010,0,0,626,0,0,0,0,234,0,0,0,0,0,165,0,0,0,168,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16230,10021,3869,0,54,4,10,14,17,73,484,509,0,0,0,0,0,2136,0,332,105,2173,0,2034,408,2532,1594,70,757,27,32,0,0,0,0,291
구미,355275,82550,45692,113460,23383,14742,46332,13299,8942,228817,7651,24198,186832,44,71063,1356701,139905,17563,91495,183381,0,0,0,0,0,0,0,0,4766,0,0,2413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,526,0,0,0,0,0,0,0,0,0,0,2645,0,0,0,138,28,112,8,0,0,0,19650,9870,4459,72,7,16,12,27,70,266,1369,0,0,0,0,0,0,10147,0,2962,409,3287,0,4793,1427,7687,3626,151,962,820,86,0,0,0,13055,810
왜관,23146,14254,0,15659,5597,0,6690,3839,1857,29993,1779,5329,33780,72819,1277,527075,69924,4317,21391,29475,0,0,0,0,0,0,0,0,1058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5448,2956,980,0,2,0,7,3,9,27,636,0,0,0,0,0,0,1766,0,0,0,0,0,0,376,1192,775,65,267,18,24,0,0,0,0,0
