,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,의정부,동두천,신탄리,금곡,가평,춘천,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주,울산,여수엑스포,광운대
서울,1741,6965,56319,1487364,671824,1105641,701085,252369,107333,3074253,29441,77993,70590,381706,22304,3135027,53239,191368,472313,3835673,0,0,0,432,0,21325,1815,982,585,1232,0,2322,96087,110894,341752,64766,126083,80791,335477,62736,11514,288634,181415,7521,45367,38023,193902,552201,1409,484,2057,147406,96435,133762,102376,49504,24578,1440,12877,0,433,93,0,0,0,0,0,0,454,0,0,890,29,0,20988,5009,0,305,2721,1800,0,2693,231,1292,4022,7452,0,578120,651,6020,3725,1182,24519,353985,189586,3933,35973,65,840,7032,1217,428909,1089196,164469,0
영등포,6036,0,0,977624,733814,0,958656,326899,122978,521362,25542,56628,49970,78567,13325,128347,16203,7111,23058,90202,0,0,0,0,0,2125,515,0,0,0,0,1825,27517,93602,82228,38708,33778,14834,21382,13599,9045,21168,64906,8355,17628,24310,40688,7424,2297,674,2256,172283,111740,154666,96351,46518,27329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,4118,0,660,453,3623,100,729,1248,3383,2806,641,802,38,14,6581,1156,31554,0,25073,0
광명,59192,0,1,0,0,256011,0,0,0,508959,0,0,0,58742,0,629093,0,25171,46724,748792,0,0,0,0,0,0,0,0,0,0,0,0,7447,10247,69606,7690,25748,16213,94245,8440,33,66976,33121,0,7598,2814,41078,141520,0,0,0,0,0,0,0,0,0,0,2535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130571,0,0,0,0,4419,93139,42311,1408,8013,0,0,0,0,100878,306830,37284,0
수원,1577900,951999,0,18857,438541,0,751928,299071,96924,654311,18811,44140,50521,112079,13878,346418,22158,12255,39998,356981,0,0,0,0,0,5761,273,306,155,0,0,3336,23698,79914,93620,31695,37572,15679,25681,13703,7380,27310,68895,5030,16908,18009,42637,5167,1274,457,1157,120743,71541,94820,86263,32818,29256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,12,0,1955,694,0,0,0,0,0,365,0,66,229,4331,0,43005,608,5728,157,1249,2435,8671,5278,800,988,89,13,3990,839,35613,62979,33926,0
평택,650394,723582,0,450641,7216,0,100051,98431,34952,242997,6668,10636,11687,24045,5171,56915,6509,2949,12091,29397,0,0,0,418,0,1599,1,0,0,0,0,406,7974,19828,26907,6988,8538,3058,7342,2823,1644,8626,14109,935,3478,3434,11830,1481,805,263,1001,39396,22195,25925,24666,6019,8469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1463,0,94,147,1524,12,157,515,1875,1669,147,375,29,3,708,188,8884,0,8816,0
천안아산,1076484,0,262503,0,0,0,0,0,0,439244,0,0,0,16427,0,305594,816,12696,58038,335242,0,0,0,0,0,0,0,0,0,0,0,0,2445,1582,19958,2287,6112,2260,21567,2371,11,21199,2952,0,807,288,7615,7909,0,0,0,0,0,0,0,0,0,0,27988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46065,0,0,0,0,898,10256,5178,144,2065,0,0,0,0,21036,112977,6621,0
천안,664622,960360,0,736673,111918,0,54122,319661,107332,485452,17242,21347,23679,44443,6199,63969,8073,3381,13092,30770,0,0,0,367,0,7100,92,266,93,71,0,783,18611,55642,40827,10593,12635,4805,6402,3160,1726,8237,21730,1452,5955,5348,18593,3727,1110,913,4171,57152,196647,211149,142344,24221,25838,0,0,0,231,0,0,0,493,0,0,266,0,0,0,14,10,0,680,68,0,0,55,0,0,11,0,9,181,1410,0,76,174,2042,21,278,608,2004,1677,166,1247,36,3,945,186,10051,0,15537,0
조치원,223290,323283,0,296882,97130,0,317916,5758,39613,446044,9702,13436,12367,16389,3980,33820,5272,2053,7824,17791,0,0,0,246,0,42957,0,0,0,39,0,0,9345,26133,29270,5852,7041,4111,8115,2090,1149,7331,17491,841,3029,3369,10419,20481,15868,8398,28677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,285,0,0,0,0,0,0,117,0,0,64,60,0,0,0,0,73,352,1245,0,0,0,80,0,0,394,1345,967,87,325,46,1,428,95,7983,0,9105,0
신탄진,104343,126780,0,98019,34729,0,108158,43373,0,73212,8915,12933,7348,11920,2009,21558,11368,1024,3385,8037,0,0,0,34,0,10165,0,0,0,0,0,0,7359,25498,17890,3808,4530,4042,4297,1561,736,4197,4493,279,803,930,2421,11329,3991,2105,10149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6912,0,2956,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,3,1096,584,0,0,0,0,0,0,178,1066,238,39,43,6,2,332,87,1524,0,2351,0
대전,3130908,506093,529392,654837,224392,437248,470673,455050,63158,224,60902,354255,132579,233387,25497,718566,31048,38500,146655,768968,0,0,0,198,0,94147,0,0,0,44,0,1817,35790,339422,215899,29142,49843,19362,50914,10092,3946,70555,63425,2669,16195,14347,59005,116323,20613,20422,71876,34,93,634,6775,3418,2828,0,53624,0,0,0,0,0,0,0,0,1123,0,0,0,0,0,0,703,0,0,30,310,0,0,0,0,249,1325,5927,12,113289,465,3123,0,974,7640,81570,41519,609,4219,47,16,1552,292,67083,284026,53803,0
옥천,26329,24218,0,19020,6496,0,16908,9380,9651,59581,658,27074,7786,8149,1619,12872,1533,533,2759,5360,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,646,0,0,0,0,0,0,24,136,181,19,46,9,3,0,0,0,0,504,0
영동,72191,56521,0,44207,9255,0,20851,12070,12290,351697,24743,8810,29544,24017,5050,45792,3736,2325,9025,18626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,91,0,60,0,41,0,0,0,0,0,0,0,0,0,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,1796,28,0,0,0,0,0,195,969,550,32,436,10,14,225,0,212,360,0,0
김천,66662,49749,0,51532,10819,0,22564,11796,6147,130465,7799,30106,0,241288,33654,421672,32538,4378,22159,36548,0,440,1,359,0,111,152,0,7341,0,0,720,0,0,0,0,150,0,0,0,0,0,404,0,0,0,323,0,0,0,0,0,0,0,0,0,0,30,60,60,50,683,60,61,0,0,0,0,16432,9532,3980,49,3,0,18,856,21,292,561,656,5,75,3,0,0,2920,0,382,135,2377,0,2191,446,2569,1601,110,796,33,98,0,0,526,0,0,77
구미,384268,80649,58850,114824,24245,17817,45657,15242,9357,245557,7846,23967,220838,81,85556,1460626,146074,19214,91434,197610,0,0,0,0,0,0,0,0,4970,0,0,3349,0,0,0,0,17,0,0,0,0,0,0,0,0,0,839,1360,0,0,0,0,0,0,316,0,0,0,1287,0,0,0,0,0,0,0,188,0,23393,12536,4750,12,1,0,5,2,61,211,1232,0,0,0,0,0,0,11016,0,3821,397,3865,0,6078,1777,8931,3640,261,1759,107,147,0,0,0,13918,0,0
왜관,22599,14041,0,15544,5718,0,6876,4169,1973,31045,1866,6284,39172,87571,1450,578086,78691,4776,22843,31451,0,0,0,0,0,0,0,0,1239,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,504,0,0,0,0,0,0,0,26,285,174,130,0,0,0,4815,2966,956,1,1,0,4,0,6,21,141,0,0,0,0,0,0,2084,0,0,0,0,0,0,499,1320,770,59,374,30,52,0,0,0,0,0,183
동대구,3218704,127430,637119,361636,56890,299425,62327,27919,14702,713480,10580,42106,418123,1498456,586472,36381,598471,250752,497448,1387379,0,0,0,355,0,864,0,0,13594,14336,13327,248626,0,0,0,0,595,0,0,0,0,0,0,0,16,0,2950,72159,0,0,0,55,61,607,84,0,0,0,49476,0,0,260,27,0,0,0,78,0,36713,21797,7165,1277,1653,0,4384,6902,2030,5105,15888,146,0,0,0,0,0,62550,24230,244696,7390,61790,0,99082,52403,268034,92157,3141,23309,989,430,0,0,0,477884,0,125
경산,56003,16961,1952,23841,6627,1425,8242,6263,8139,30438,1408,3576,32557,148583,83186,600727,120762,101134,193077,238927,0,0,0,0,0,0,0,0,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1049,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5448,3594,1047,0,2,0,7,72,12,24,417,0,0,0,0,0,0,18689,0,0,0,0,0,0,15533,63731,32348,885,4860,379,176,0,0,0,0,0,0
밀양,190987,6506,24837,12640,3013,13794,3488,1751,755,39567,492,2131,5057,22569,5220,257139,94457,52168,411955,387805,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,10,0,31,5,5,68,0,0,325,0,3584,2759,0,0,0,0,0,0,0,0,0,0,473,155,47,0,0,0,0,0,0,33,949,543,336,4,1,0,9,93,18,30,460,0,0,0,0,0,0,31386,162,45,2,176,0,0,26457,124745,44781,1424,12991,1106,218,55,13,13,208,0,0
구포,479010,24327,49845,42137,12430,48845,13472,7268,2745,142137,2440,8849,22634,93443,24324,481224,188079,432067,68337,103420,0,0,0,0,0,0,0,0,1933,0,0,0,0,0,0,0,97,0,105,42,39,316,0,0,0,0,6855,9924,0,0,0,0,0,0,0,0,0,0,1629,0,0,0,0,0,0,0,0,0,6142,4199,2131,16,13,0,20,106,69,83,1823,0,0,0,0,0,0,28819,2510,2854,44,1401,0,0,6335,23174,7994,3235,7705,4148,540,421,88,40,1285,803,0
부산,3891339,88643,771621,354743,27923,352751,26988,15614,6380,762516,4613,18259,40114,214512,35614,1361392,250114,405714,106323,1100,0,0,0,0,0,476,0,0,3022,0,0,0,0,0,491,0,20,0,249,11,29,68,0,0,0,0,3597,114710,0,0,0,0,0,0,0,0,0,0,64344,0,0,222,0,276,0,0,66,4,15239,9659,3829,24,25,0,582,1314,123,200,5185,0,0,0,0,0,0,591,1282,113593,54,481,0,0,1135,2238,1134,743,2591,2657,202,207,49,786,206158,3345,0
팔당,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,3238,2174,14471,89,3112,109,339,318,393,0,0,0,576,0,0,0,47,0,0,0,0,101,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,1,369,215,414,0,8,418,65,967,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
양평,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0,0,3170,8303,23912,88984,330,21068,3201,4291,5035,5807,257,217,0,53,0,0,0,191,0,0,0,0,152,0,0,0,119,432,0,0,0,0,0,0,0,0,0,0,0,0,0,332414,0,0,0,0,0,0,0,0,0,0,0,0,0,27,904,1384,3185,358,24,1937,271,5117,2630,1776,310,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,0,0
양동,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2389,22404,188,10732,41,2362,173,426,312,394,11,8,0,4,0,0,9,0,0,0,0,0,4,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49749,0,0,0,0,0,0,0,0,0,0,0,0,20,2,80,135,380,0,7,197,19,522,279,25,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
원주,432,0,0,0,418,0,367,246,34,198,0,0,359,0,0,355,0,0,0,0,14032,83991,11090,232,211,49054,9613,16231,13115,15989,703,912,0,221,251,0,252,0,0,0,0,0,411,0,50,4,843,293,32,20,100,0,0,0,0,0,0,0,0,0,0,526881,0,0,0,0,0,0,0,0,0,0,0,0,372,87,5244,2643,7218,1052,140,14908,3776,22060,20541,4775,919,1043,0,0,0,0,0,0,0,0,0,0,0,0,0,235,2450,122,0
신림,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,455,44,444,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,34,41,0,0,10,4,53,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제천,20264,2159,0,5243,1870,0,8068,45176,9401,91306,0,0,111,0,0,864,0,0,0,476,3385,15194,1662,46637,156,13490,11289,17096,26620,20445,626,690,0,400,0,0,0,410,1036,0,0,262,0,0,0,334,751,129591,15144,14264,86173,73,176,69,0,0,0,0,0,850,0,216883,460,981,141,0,64,251,0,0,0,163,102,0,2320,1937,3464,14903,22508,6210,111,19421,3629,31551,18529,5959,554,2119,0,0,0,0,0,0,0,0,0,0,0,0,0,492,3981,0,380
단양,2076,738,0,222,0,0,72,0,0,0,0,0,152,0,0,0,0,0,0,0,138,2993,151,9228,1,13159,0,1986,4776,5599,245,367,0,0,0,0,0,0,0,0,0,0,0,0,0,210,251,27,0,0,0,0,0,0,0,0,0,0,0,0,0,36589,0,0,0,0,0,0,0,0,0,13,5,0,197,15,0,0,0,0,0,9,0,5,28,2441,317,1174,0,0,0,0,19,37,45,0,290,7,0,0,0,0,3012,32,0
풍기,996,0,0,555,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,298,3560,253,16653,19,17891,2138,206,4889,18677,183,159,0,0,150,0,0,0,0,0,0,0,0,0,0,0,54,159,0,0,0,0,0,0,0,0,0,0,0,0,0,69829,0,0,71,0,0,0,0,0,0,12,4,0,422,23,0,0,0,0,0,8,0,13,63,1221,140,655,0,259,0,0,0,576,0,0,0,0,0,0,0,303,1272,0,0
영주,919,0,0,212,0,0,95,0,0,0,0,0,6874,5298,978,14833,1086,456,2210,4199,281,4235,230,12702,23,30481,4842,5392,13,80772,4011,2286,0,0,153,0,0,0,0,0,0,0,0,0,0,8,373,21,0,0,0,0,0,0,0,0,0,0,1008,0,0,73241,0,0,273,0,0,0,4369,4228,2439,1604,6343,0,12762,11094,1492,11098,8927,0,0,32,0,139,375,5840,959,4781,0,1032,1,3059,74,103,141,27,137,0,0,0,0,0,9942,0,0
안동,1024,0,0,0,0,0,71,39,0,44,0,0,0,0,0,14597,0,0,0,0,324,4796,273,16058,25,22888,5735,18090,84198,112,29188,8164,0,0,102,0,0,0,0,0,0,0,0,0,0,0,789,253,0,0,0,226,90,218,201,170,0,0,0,0,0,77975,0,0,263,0,0,0,0,0,0,4033,2462,0,2725,3686,722,5087,6386,0,0,0,0,0,0,10618,1549,9833,0,185,215,8079,0,0,0,0,367,0,0,0,0,0,15816,0,0
의성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16114,0,0,0,0,0,350,17,615,13,547,429,439,3880,28954,2213,5311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,361,0,0,0,0,0,0,0,0,0,0,0,0,0,4563,0,0,88,0,0,0,0,0,0,303,90,0,133,517,195,1526,1080,0,0,0,0,0,0,4924,878,6908,0,0,178,4048,0,0,0,0,0,0,0,0,0,0,5725,0,0
영천,2507,1709,0,3482,498,0,855,43,0,1886,0,0,796,3326,0,242122,0,0,0,0,0,292,9,1105,3,890,655,411,2095,6329,8871,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967,0,0,0,0,10,0,0,0,0,327,230,0,273,944,100,312,877,0,0,0,0,0,0,13952,3713,38802,288,7414,0,6335,0,0,0,0,0,0,0,0,0,0,33062,0,0
계룡,98182,26856,8268,23278,8071,1643,18452,9730,6949,29098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19362,19616,2300,3227,2235,4589,748,348,3866,7007,164,671,585,2286,305,0,0,0,10,15,98,450,145,409,0,1396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,27,6096,0,1970,0
논산,102269,88478,7708,77555,18384,1364,54229,25045,25976,317245,0,0,0,0,0,0,0,0,0,0,576,53,4,221,0,400,0,0,0,0,0,0,18566,4015,63105,6764,8497,4601,11072,1812,984,9357,26810,787,3555,2777,10897,508,0,0,0,49,123,397,1466,379,796,0,1270,0,0,864,0,0,0,1368,0,792,0,0,0,0,0,0,160,0,0,910,0,0,0,0,0,0,0,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,366,78,18377,0,7690,770
익산,358760,80511,73513,97060,27134,22082,37937,30618,20508,220229,0,92,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,150,153,102,0,0,20088,66899,4799,48298,129306,22152,59094,8637,3807,50554,133428,13300,43816,20904,67557,5991,0,0,0,8888,14330,30119,76951,37351,27915,0,17244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,0,0,0,0,0,0,701,491,0,0,0,0,0,0,0,0,0,0,0,0,974,396,78603,0,49783,0
김제,63403,37199,7294,30831,6632,1659,10194,6242,3439,29581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1783,6878,47737,7610,25240,6218,14000,2069,1108,8725,0,0,0,0,277,221,0,0,0,0,0,0,0,0,0,0,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,345,88,22795,0,0,0
정읍,141854,30861,26134,36089,8246,5829,11899,7702,4402,48705,0,0,150,17,14,595,0,10,97,20,0,0,9,252,0,0,0,0,0,0,0,42,2579,8738,128381,25290,0,10194,19483,2999,1245,16312,0,0,0,0,313,1198,0,0,0,0,0,0,0,0,0,0,5300,0,0,434,116,0,0,0,20,239,0,0,0,0,0,0,0,0,36,10,4,0,0,321,0,0,701,55,0,0,0,554,0,0,0,0,0,0,0,471,0,346,95,19715,0,0,0
