,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,여수엑스포,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,광운대,의정부,동두천,신탄리,금곡,가평,춘천,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍룡,영월,예미,민둥산,태백,부전,좌천,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주,울산
서울,14299,7722,74866,1447062,705865,1188152,684853,254885,114095,3093869,28405,80726,67837,409153,20898,3162369,57183,173772,468153,3941709,0,0,0,30,0,16392,1042,451,848,3128,0,2040,96361,104330,323875,60678,116652,79999,337462,72792,10343,274333,233645,7277,49855,35955,177756,171285,758802,1482,894,2556,139425,93290,125479,99441,49995,26727,0,14357,0,23982,60,0,27,13,10959,0,0,0,648,0,0,0,1463,19,24992,4115,0,629,6378,1880,0,3834,0,945,6537,6861,270,621473,631,5820,2566,1255,28730,375244,193358,3890,41328,0,811,7046,1022,410018,1168002
영등포,7264,0,0,1057169,735963,0,909543,326599,124507,508905,25060,55382,49809,74095,12577,125463,16378,6333,21465,91321,0,0,0,0,0,678,0,0,0,0,0,1801,27552,86118,80244,36401,30535,14751,19706,13900,8817,20049,79264,7964,15804,22428,33239,21961,8048,2023,682,1801,163618,108921,155023,94390,45068,27808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3135,0,496,401,3404,465,785,1098,2967,2263,542,539,0,0,6186,1174,28872,0
광명,80032,0,0,0,0,269552,0,0,0,492260,0,0,0,65795,0,603808,0,22635,41756,737096,0,0,0,0,0,0,0,0,0,0,0,0,7602,10593,63538,6732,23728,15117,90462,10653,0,63242,41019,0,8671,2721,41366,40150,179760,0,0,0,0,0,0,0,0,0,0,3502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132392,0,0,0,0,5304,97247,42205,1411,9433,0,0,0,0,92427,312994
수원,1495292,1013869,0,16867,442204,0,783767,325325,105037,715500,19558,46445,53527,112007,14502,369572,23277,12677,40388,391345,0,0,0,0,0,5425,195,630,136,0,0,3620,27020,80538,98632,32805,37474,17180,26815,16460,7333,27677,95898,5344,16936,18685,39333,34576,6331,1179,451,2484,114294,75562,98430,89264,33850,32019,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,33,13,1063,269,0,0,668,0,0,12,0,15,159,4491,0,48739,712,6023,400,1634,2430,8210,4833,665,908,0,0,3954,915,36793,69764
평택,673243,717715,0,463249,6785,0,100689,103523,35258,249507,6672,12052,11888,23815,5104,55102,6637,3178,11932,29630,0,0,0,0,0,1572,0,0,0,0,0,449,8496,20595,28443,7100,8722,3202,8118,3170,1671,10018,18619,1104,3512,3371,11059,9109,1862,899,276,1143,34920,23100,26636,24902,6319,8403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1249,0,130,140,1602,0,164,461,1818,1465,145,349,0,0,669,240,9348,0
천안아산,1170521,0,273086,0,0,0,0,0,0,457741,0,0,0,20734,0,299132,1027,13462,57321,336891,0,0,0,0,0,0,0,0,0,0,0,0,2559,1589,20260,2394,6068,2212,20877,2679,0,20538,3901,0,666,228,6893,6968,11100,0,0,0,0,0,0,0,0,0,0,30094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51250,0,0,0,0,1143,11929,5543,296,2277,0,0,0,0,22322,123925
천안,642217,904184,0,766075,113402,0,59035,321903,107775,467349,16276,20143,23049,41487,5808,62020,7645,3413,12774,30951,0,0,0,0,0,6286,114,91,110,0,0,1047,18232,54522,42996,10524,11852,4872,6090,3390,1615,8449,27566,1483,6139,5444,17610,14783,4436,1252,739,4649,51853,189012,212562,141114,29707,25730,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,13,8,463,67,0,0,395,0,0,3,0,414,1104,1737,0,578,157,1873,0,344,610,1857,1274,196,493,0,0,814,148,9521,0
조치원,229883,327803,0,324131,100522,0,317174,6545,43684,447205,11000,13957,12368,16189,3990,34055,5434,2083,8028,17802,0,0,0,0,0,43632,467,234,607,88,0,0,10138,26365,30993,6461,7004,4079,8376,2460,949,7699,22396,845,2983,3286,9113,9002,26834,16896,7750,29625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,41,458,0,0,0,0,163,503,1075,0,7,0,168,0,0,439,1418,959,103,273,0,0,495,97,9034,0
신탄진,111531,128248,0,105167,34266,0,108772,44531,0,76418,10761,14197,7725,11749,2316,20218,11353,952,3605,7716,0,0,0,0,0,10164,185,98,294,9,0,0,7074,25272,17724,3637,4639,3602,3916,1481,684,3979,6295,357,782,787,2331,3351,13189,3390,2727,11517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,792,0,0,0,0,0,0,42,0,0,0,432,0,0,0,0,68,199,477,0,9,0,0,0,0,205,837,236,25,47,0,0,328,80,1615,0
대전,3159010,501971,505937,713282,226060,459232,455132,454693,67256,913,62321,356769,132401,241620,26351,742639,32887,38335,148390,785077,0,0,0,0,0,92106,2928,842,1979,184,0,1923,34471,337333,218689,29665,48732,18169,53642,11501,4282,69344,81064,3177,19487,13770,58011,53789,122906,21133,21182,73335,24,54,617,6849,3875,3269,0,58951,0,295,0,0,0,0,0,0,0,317,0,0,0,0,0,0,374,0,0,62,414,430,0,0,0,397,1137,4850,0,121376,514,3656,0,1087,8617,88742,43512,650,3934,0,0,2028,334,65170,301852
옥천,24748,23538,0,19500,5996,0,15491,10416,10873,61438,1183,29806,8779,9065,1650,12710,1748,604,2795,5356,0,0,0,0,0,189,201,34,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,118,82,305,0,0,0,0,0,0,0,0,0,0,192,49,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,0,0,0,504,0,0,98,272,297,31,38,0,0,0,0,0,139
영동,73703,55256,0,45905,10339,0,19697,13892,14689,358621,27910,10572,27742,25722,5886,44210,3826,2151,8783,18263,0,88,168,0,0,573,402,13,42,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,127,82,452,0,0,0,0,0,0,0,0,0,0,200,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1053,0,0,0,211,0,0,293,1120,645,56,444,11,0,0,0,0,372
김천,61825,48734,0,54013,10745,0,21477,12231,6691,134230,8506,28578,0,232892,33869,417542,31652,4441,21816,36641,0,410,0,298,0,250,40,3,6231,0,0,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,438,81,42,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14912,9189,3823,0,20,0,6,503,10,80,541,187,0,0,0,0,0,1749,0,416,155,2403,0,2645,453,2792,1669,130,1334,81,0,0,0,0,0
구미,408594,75239,62248,112686,22692,20881,41097,16120,9964,266071,8485,25893,220485,149,83131,1474518,145762,19149,89528,200348,0,0,0,0,0,861,103,10,4427,0,0,3097,0,0,0,0,0,0,0,0,0,690,0,0,0,0,0,0,2696,120,87,312,0,0,0,0,0,0,0,735,0,0,0,0,0,0,0,0,0,0,21873,13647,4443,0,29,11,3,38,72,269,1077,0,0,0,0,0,0,7558,0,3939,423,3860,0,6685,1731,9642,4373,266,2326,0,0,0,0,0,16886
왜관,21377,12933,0,15850,5409,0,6159,4179,2308,32964,1871,6588,38938,85737,804,594780,76332,5115,23040,32877,0,0,0,0,0,54,7,0,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,30,21,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5128,2888,928,0,2,1,2,1,4,10,180,0,0,0,0,0,500,1820,0,0,0,3,0,0,541,1441,777,61,453,0,0,0,0,0,0
동대구,3222700,125812,597954,382027,55357,295899,61837,29720,17056,737890,11229,41995,416556,1515885,600908,36878,583995,240024,508821,1428878,0,251,0,92,0,705,214,35,15147,14438,13675,256057,0,0,0,0,1150,0,0,0,0,0,0,0,0,0,275,0,88287,349,223,381,0,0,0,0,0,0,0,58795,0,0,0,0,0,0,0,0,0,0,36174,22156,10064,0,1556,1861,6143,6798,2240,5665,15435,159,0,0,0,0,0,51371,23854,268510,6368,62944,0,116185,51090,259890,87813,3141,28011,730,0,0,0,0,532848
경산,59910,17057,2001,25054,6615,1615,7721,5310,9191,32901,1429,3606,31629,147176,80369,584778,116954,94492,200669,246344,0,0,0,0,0,0,0,0,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5434,3719,1228,0,7,4,1,51,15,47,594,0,0,0,0,0,0,15246,0,0,0,0,0,0,15261,63895,31905,816,6605,0,0,0,0,0,0
밀양,182615,6043,24589,13233,3080,12642,3508,1937,727,39876,500,2037,5314,22695,5940,246537,88505,46894,410284,384759,0,296,0,0,0,0,0,0,568,0,0,0,0,0,0,0,5,0,25,8,8,59,0,0,0,0,1811,0,3511,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,1045,514,548,0,0,1,8,27,6,335,779,0,0,0,0,0,0,29533,209,63,3,158,0,0,23839,109929,43511,1463,14856,1246,222,112,8,9,205
구포,470765,23113,44570,43234,12081,47821,13244,7407,2900,141963,2576,8841,22745,89950,24228,490382,193117,431976,75746,112467,0,5,0,0,0,1077,0,0,1883,0,0,0,0,0,0,0,115,0,114,61,34,327,0,0,0,0,7273,664,11109,0,0,0,0,0,0,0,0,0,0,1544,0,0,0,0,0,0,0,0,0,0,5970,4270,2667,0,24,12,120,550,41,84,1852,0,0,0,0,0,0,31562,2336,3434,54,1339,0,0,6478,30444,9467,3146,8904,5635,664,697,75,50,1717
부산,3992098,90537,753684,388938,27647,350885,28123,15212,6525,773843,4822,18580,39780,215471,36521,1408444,258940,402223,118655,1289,284,45,0,0,0,0,0,0,3057,0,0,0,0,0,400,0,15,0,459,10,28,445,0,173,0,0,8219,2912,130228,0,0,0,119,123,54,0,0,392,0,77286,0,0,0,0,0,0,0,0,0,0,14831,9287,5192,0,34,15,372,582,98,325,4654,0,0,0,0,0,0,831,1543,125508,53,461,0,0,1037,2608,1283,660,2727,4453,343,1236,30,343,237122
팔당,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,3674,4788,15029,81,2329,144,275,344,613,0,0,0,0,0,0,6,0,0,223,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785,0,0,0,130,0,0,0,0,0,0,0,0,0,0,3,348,214,341,0,10,421,59,862,721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
양평,0,0,0,0,0,0,0,0,0,0,0,86,410,0,0,251,0,296,5,45,3875,9218,27715,94269,378,22827,3436,4677,5446,7047,947,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1137,1467,3308,436,26,2042,353,5808,3016,1772,339,566,0,0,0,0,28,12,31,25,314,9,0,0,0,478,865
양동,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,4874,26448,132,9901,48,2009,178,295,313,442,17,8,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,142,374,0,6,181,28,582,237,10,0,6,0,0,414,0,0,0,0,0,0,0,0,0,0,0,17
원주,165,0,0,0,0,0,0,0,0,0,0,0,298,0,0,92,0,0,0,0,14763,90071,10691,306,239,49695,9389,15264,13990,16546,669,966,0,419,0,0,0,0,0,0,0,432,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590919,0,0,0,0,0,0,0,0,0,0,0,1,0,25,128,5842,2974,6248,1165,217,14567,3599,21373,20915,4740,441,1264,0,0,77,0,0,0,0,0,0,0,0,0,0,0,2320
신림,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,514,25,541,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,42,22,0,0,14,5,55,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제천,6196,785,0,6068,1766,0,7119,44564,9424,87597,139,547,216,808,42,644,0,0,1077,0,2505,16876,2168,47660,159,4897,10601,15926,24202,21166,538,630,0,0,0,0,0,0,0,236,0,0,380,0,161,0,410,408,126880,14738,13641,85096,0,0,0,0,0,366,0,388,1038,0,209489,0,0,0,771,0,0,0,0,0,0,0,55,79,1146,1285,3772,17497,20767,5335,121,19946,3678,30843,17956,5496,1076,2315,0,208,503,0,0,0,0,0,0,0,0,0,0,1468,5761
단양,1049,0,0,156,0,0,104,496,137,2868,174,387,48,82,1,182,0,0,0,0,144,3317,236,8975,14,14526,0,1702,4167,5283,192,369,0,0,0,0,186,12,0,121,0,0,59,0,0,0,0,0,2862,197,300,938,0,0,0,0,0,0,0,0,0,0,38152,0,146,0,249,0,0,0,0,0,0,0,9,13,36,34,0,0,0,0,0,48,0,8,34,2412,354,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,190,3078
풍기,457,0,0,295,0,0,79,293,73,963,32,18,3,12,2,16,0,0,0,0,259,4132,347,15730,25,16668,1838,214,4862,18913,190,223,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,863,64,56,455,0,0,0,0,0,0,0,0,0,0,67747,0,0,0,0,0,0,0,0,0,0,0,6,3,27,171,55,403,159,0,0,3,0,22,57,1243,169,723,0,0,401,0,0,0,0,0,39,0,0,0,0,197,1418
영주,2619,0,0,208,0,0,112,590,169,1966,62,33,6307,4936,823,12327,1062,535,2284,3731,262,4715,296,13314,39,28798,4277,5936,0,83500,3774,2331,0,0,0,0,0,0,0,15,0,0,27,0,0,0,0,0,1699,161,182,879,292,0,0,0,0,0,0,0,0,0,76468,0,0,0,0,0,0,0,4176,4424,2514,0,1273,5811,12935,14542,1503,11339,7758,0,0,45,0,239,494,5725,958,5029,0,129,28,3255,17,95,146,1,842,0,0,0,0,0,10717
안동,926,0,0,0,0,0,0,88,9,184,0,204,0,0,0,13873,0,0,0,0,557,6157,433,17231,49,23622,5561,18912,85283,0,30257,8011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,310,80399,163,10,0,0,0,0,0,0,0,0,0,4241,2462,3547,3016,815,5321,4716,0,0,0,0,0,0,10406,1724,10374,0,0,398,7600,0,0,0,0,474,0,0,0,0,0,16043
의성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14236,0,0,0,0,0,953,17,597,13,542,316,365,3694,30983,2826,4682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4352,0,0,0,0,0,0,0,0,0,0,0,214,136,259,486,252,1337,1386,0,0,0,0,0,0,4809,746,7821,0,0,0,3466,0,0,0,0,0,0,0,0,0,0,5756
영천,2257,1922,0,3548,526,0,1073,95,0,2097,0,0,815,3142,0,252579,0,0,0,0,0,303,7,1109,10,766,599,380,2256,6756,7166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,231,188,216,51,0,0,0,0,0,956,0,0,0,0,0,0,0,0,0,0,0,223,256,356,639,99,321,899,0,0,0,0,0,0,13470,4041,42236,259,7224,0,7122,0,0,0,0,0,0,0,0,0,0,34803
계룡,95962,26441,8235,25695,8211,1815,17773,10364,6792,27679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18320,18773,2525,3307,2252,5213,946,346,4288,7695,232,823,648,2599,2194,423,0,0,0,1,22,120,434,170,461,0,1333,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,42,5854,0
