,서울,광명,영등포,수원,평택,천안,천안아산,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,여수엑스포,청주,증평,음성,충주,부천,부평,인천,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,광운대,의정부,동두천,신탄리,금곡,가평,춘천,오이도,상주,점촌,예천,광주,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍룡,영월,예미,민둥산,태백,부전,좌천,경주,안강,진해,하양,진영,장원,마산,함안,진주,하동,광양,보성,화순,울산,공주,포항
서울,26163,115961,7700,1440321,660477,599185,1234956,222374,104927,3048048,23729,72782,55494,447166,20742,3161489,59529,144383,385573,3865699,0,0,0,283,0,6012,911,1615,240,432,0,617,111162,99844,496501,41813,165314,34565,1113172,141693,8945,342736,336015,6806,66533,35354,270847,261531,1100571,1385,429,2862,0,0,0,129051,86374,122380,94414,47364,31529,0,8690,0,19205,243,0,56,27,11401,0,0,0,0,0,0,0,126952,960,2018,22800,1168,0,744,3803,0,0,3177,778,241,3689,5616,0,462268,242,3541,333,36219,381306,196715,1367,48073,0,625,6328,1034,1159599,20260,361365
광명,108642,13,0,0,0,0,277456,0,0,476422,0,0,0,74770,0,595060,1670,22374,30595,757709,0,0,0,0,0,0,0,0,0,0,0,0,7444,8916,102678,1487,33517,4013,249504,28857,0,76265,60498,0,12264,3986,56304,58914,219617,0,0,0,0,0,0,0,0,0,0,0,0,0,5101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108536,0,0,0,12472,114325,51356,269,14682,0,0,0,0,289812,5914,74295
영등포,7854,0,0,1061334,670208,831312,0,311908,121804,484908,21705,54354,45095,68535,13230,120146,16838,5402,22142,90285,0,0,0,0,0,2173,133,60,62,0,0,479,25193,73290,65241,33318,22990,14353,16703,9952,7343,15239,69236,7434,13081,15913,26678,19906,7738,1892,604,1507,0,0,0,148285,101156,142211,88987,40533,28331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22701,24,11,186,88,0,0,240,0,0,0,0,0,43,3759,0,115,120,80,244,1024,2407,1724,314,292,0,0,5166,908,155,0,786
수원,1374767,0,1092319,15882,459256,743309,0,317644,100395,698894,18166,45689,52205,105197,16082,374944,25357,13404,44238,399309,0,0,0,0,0,5771,264,197,169,0,0,1053,24582,69729,99036,31288,33542,16013,25940,15021,6776,24850,92471,5586,16373,14424,37313,37060,6254,1021,427,2854,0,0,0,94220,69164,94007,86330,31994,36068,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,30750,36,33,3817,252,0,0,991,0,0,0,0,0,692,3861,0,32410,201,492,415,2256,7473,3948,607,656,0,100,3631,856,84516,0,1527
평택,681822,0,682706,417798,5644,105423,0,103070,32622,217921,5934,10017,9688,20519,5135,53408,6324,3038,11557,27803,0,0,0,1000,0,2190,0,0,0,0,0,151,7028,17059,27210,5956,7061,2764,7086,2457,1050,8245,15928,950,3816,2362,9415,8313,1635,794,403,946,0,0,0,32522,20652,26704,24586,5629,9006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8731,0,0,0,0,0,0,698,0,0,0,0,0,0,1219,0,35,33,75,55,687,2426,2389,137,423,0,63,608,190,100,0,405
천안,626190,0,831981,756128,86455,50780,0,305277,98678,421946,14060,18926,19608,36285,5969,55902,7603,3424,13595,29811,0,0,0,0,0,7767,146,112,203,0,0,281,16241,50022,35423,9299,9752,4224,6175,2970,1663,8131,22449,1326,5689,3904,15308,13383,6174,1534,1104,4031,0,0,0,42049,173488,209828,139882,24522,24925,0,0,0,0,0,0,0,0,325,0,62,625,0,0,0,0,6160,37,25,219,168,0,390,99,0,0,0,0,0,274,1294,0,39,63,839,102,638,1671,1016,199,378,0,41,1108,175,0,0,505
천안아산,1225988,278851,0,0,0,0,0,0,0,408845,0,0,0,28698,0,287913,1968,8886,40624,346224,0,0,0,0,0,0,0,0,0,0,0,0,1657,1548,39640,535,9617,682,68116,5723,0,25278,9621,0,2253,523,13274,13803,25813,0,0,0,0,0,0,0,0,0,0,0,0,0,41156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30383,0,0,0,1034,15227,7401,42,2540,0,0,0,0,153966,1777,17087
조치원,243203,0,309933,315615,106567,312485,0,5632,39627,404306,12263,14062,11915,15993,3929,28877,4421,1965,7076,15292,0,0,0,0,0,37169,773,389,994,0,0,30,7684,24717,23864,6039,5525,3121,5665,1761,900,5104,16900,940,2431,2729,6867,7010,31206,19768,8573,29959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,286,0,0,0,0,8030,0,0,143,0,0,154,6,0,0,18,0,281,612,1316,0,5,4,0,13,404,1109,676,100,202,1,0,642,198,0,0,77
신탄진,107787,0,118041,100150,33579,98113,0,39932,0,67709,11438,15441,6448,10494,2199,16165,15355,653,2726,6697,0,0,0,0,0,8724,225,88,251,0,0,0,5818,22311,16247,3062,2964,2063,3948,1193,614,3393,8355,599,991,1313,4521,3607,13244,3144,2062,9101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,126,0,0,0,0,353,0,0,67,0,0,85,2,0,0,0,0,0,293,0,0,0,0,0,0,178,862,216,54,22,0,0,213,44,0,0,0
대전,2972304,462963,484440,690536,240399,425562,404280,397020,77080,253,65265,349245,120892,262326,31445,704740,32113,33264,122696,764823,0,0,0,0,0,79825,2022,1203,3196,0,0,622,19252,297820,227583,27200,38868,14397,34615,10653,3535,42227,62467,2651,13727,9728,48503,48306,137549,18496,20548,67030,0,0,0,11,56,656,4032,3075,4496,0,70167,0,560,0,0,0,0,288,0,0,1897,0,0,0,0,34692,0,0,588,0,0,1028,2555,920,0,191,0,110,1667,4729,0,93674,167,60,404,10021,79536,41622,439,4742,369,0,994,316,284327,0,72183
