,서울,영등포,수원,평택,천안아산,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,김천구미,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,여수엑스포,청주,증평,음성,충주,부천,부평,인천,온양온천,예산,홍성,대천,장항,군산,수색,능곡,문산,청량리,광운대,의정부,동두천,신탄리,금곡,가평,춘천,오이도,상주,점촌,예천,광주,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍룡,영월,예미,민둥산,태백,부전,좌천,경주,안강,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광명,울산,포항,수서,동탄,지제,오송,신경주,공주
서울,0,121705,1335737,686491,1895049,234574,102706,2900921,25100,67336,57260,478864,22012,0,3035952,56730,147154,367128,3707838,0,0,0,0,0,1634,490,105,174,0,0,16,116770,107945,577829,35770,167778,21032,1390805,190791,8097,377012,392682,6529,70850,45039,309730,285069,1149378,1437,327,2590,0,0,0,113486,88079,128287,96829,46834,36412,0,24355,9200,5,0,102,25,4025,0,0,0,0,0,0,0,19187,36,46,15917,493,0,716,890,0,0,0,0,0,505,4411,0,363830,4,7,33576,390642,184604,496,57863,0,0,5063,825,115961,1149024,514896,0,0,0,0,0,0
영등포,128006,0,1105671,687801,1044996,289795,111471,922881,22288,49612,41630,154351,13370,0,726121,17242,28279,51924,857826,0,0,0,22,0,1436,321,33,93,0,0,25,32413,79600,183188,32211,65606,13889,354713,49882,6932,100861,137355,7538,27667,20863,94200,87730,255799,1827,551,1630,0,0,0,129329,99420,137997,85924,39945,25323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19819,26,27,307,70,0,0,0,0,0,0,0,0,13,2337,0,0,0,1,8890,120745,48248,323,15606,0,0,4523,757,0,0,0,0,0,0,0,0,0
수원,1376031,1081174,0,416542,708650,310272,94906,684726,17408,41099,49616,95827,15232,0,369833,24279,13052,42176,412850,0,0,0,2,0,5987,2922,141,186,0,0,19,23448,70580,93854,30205,33047,15308,26311,13664,6284,23374,86537,5831,15505,15890,35719,34633,8930,1282,408,1662,0,0,0,85141,68954,89545,84805,31117,34198,0,0,0,0,0,0,0,284,0,0,4,0,0,0,0,27954,39,25,3176,433,0,0,1778,389,0,447,0,0,1866,2938,0,30982,9,8,2230,7108,3904,631,742,0,0,3250,750,0,68833,54,0,0,0,0,0,0
평택,676230,671865,436359,0,85608,102991,35009,244432,6625,10139,11417,21756,4945,0,53784,6558,3212,12536,32547,0,0,0,682,0,1687,0,0,0,0,0,0,7135,19105,26629,6714,7166,3138,7613,2727,1255,8487,17793,989,3251,3023,10465,8635,2396,850,320,958,0,0,0,22340,20533,25015,24687,5658,9132,0,0,0,0,0,0,0,0,0,0,561,0,0,0,0,7888,0,0,0,0,0,0,0,0,0,0,0,0,681,980,0,0,0,0,515,1712,1142,105,324,0,0,539,180,0,0,0,0,0,0,0,0,0
천안아산,1877918,1043413,743602,102383,0,292550,90450,795456,14809,19577,20969,65928,5600,697,363908,7568,15733,60965,380137,0,0,0,0,0,6638,328,101,341,0,0,4,18550,51720,81919,9068,21014,4183,102809,10465,1475,34447,35337,1486,7735,5214,32845,31114,42750,944,1077,4386,0,0,380,41340,152716,191904,135404,25664,24459,0,48149,0,0,0,0,0,0,0,8,923,0,0,0,0,6347,58,74,935,181,0,0,504,0,0,0,0,0,656,890,0,33090,0,2,1639,13676,6250,134,2226,0,0,1055,155,278851,154948,65829,16859,2348,36,362,770,70
조치원,217282,295297,309929,101210,290647,0,36186,350403,11968,14096,11120,14311,3625,0,31782,5281,1787,7095,16856,0,0,0,30,0,30373,725,254,819,0,0,0,7009,23388,20549,5225,4826,4051,6730,1475,780,4550,17369,891,2120,2913,6565,6347,27472,17346,7514,23138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,6125,0,0,231,0,0,412,48,75,0,0,0,8,659,873,0,0,0,0,394,1345,657,337,265,0,0,439,132,0,14,2,0,0,0,0,0,0
신탄진,101756,118085,96480,33527,89679,36882,0,77145,10538,12675,6912,9446,1935,0,16168,10069,827,3532,7483,0,0,0,0,0,6843,219,86,446,0,0,0,5231,19443,14832,2802,2902,3415,3929,1018,446,3017,5076,365,675,838,2698,2520,14767,3299,2168,9330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,1014,0,0,70,0,0,86,4,3,0,0,0,19,145,431,0,0,0,0,122,345,176,217,26,0,0,242,57,0,24,40,0,0,0,0,0,0
대전,2985037,942398,690599,222919,791256,356661,68167,0,62776,334395,109262,252352,23854,1128,699414,32093,34412,132173,781701,0,0,0,547,0,75468,2750,684,2807,0,0,15,17850,295126,219365,25077,35644,11683,27313,9036,3097,30089,53763,3051,12797,10541,42779,40958,142128,18663,21466,63345,0,0,0,14,44,464,5001,3222,3605,0,70219,0,93,0,0,0,0,0,0,677,0,0,0,0,24014,0,26,375,0,0,239,98,188,0,0,0,213,2088,3681,0,78887,1,7,9581,88477,39698,258,5813,0,0,1306,306,462963,300737,177342,31722,3818,690,773,1897,0
옥천,22929,20525,17491,5815,14088,11123,9940,65813,0,22885,6315,6425,1555,0,10864,1401,516,2629,5339,0,0,0,0,0,353,94,17,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,778,254,118,404,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,0,0,0,0,65,233,175,20,22,0,0,0,0,0,211,0,0,0,0,0,0,0
영동,62483,49670,41236,8681,18644,13228,13591,339707,22036,0,25046,22072,5977,0,41372,3235,1889,8807,16616,297,0,0,0,0,370,602,16,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,132,74,474,6,226,0,0,0,0,0,0,0,0,394,0,3671,0,150,219,42,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,893,0,0,0,0,245,693,617,75,224,0,0,0,0,0,0,253,0,0,0,0,0,0
